match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_dispossessed,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork,stat_ownGoals,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_totalOffside
14607841,home,Club Brugge KV,Nordin Jackers,nordin-jackers,N. Jackers,G,29,185.0,424,M,361722,EUR,873417600,G,29,29,False,33.0,27.0,16.0,10.0,0.0,20.0,20.0,7.0,13.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,90.0,41.0,6.6,6.0,0.00885991,0.1972,0,-0.9454,0.18,0.0,-0.52,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14607841,home,Club Brugge KV,Kyriani Sabbe,kyriani-sabbe,K. Sabbe,D,64,176.0,1049,M,1101258,EUR,1106697600,D,64,64,False,39.0,30.0,4.0,2.0,0.0,12.0,15.0,18.0,24.0,1.0,7.0,1.0,5.0,,,,67.0,58.0,6.1,11.0,0.0234283,,0,,-0.37,0.11,-0.58,,,,1.0,4.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
14607841,home,Club Brugge KV,Jorne Spileers,jorne-spileers,J. Spileers,D,58,188.0,885,M,1104897,EUR,1106265600,D,58,58,False,100.0,95.0,8.0,6.0,0.0,47.0,49.0,48.0,51.0,3.0,6.0,1.0,6.0,,,,90.0,109.0,6.3,6.0,0.0388548,,1,,0.29,0.25,-0.81,,Jorne,Spileers,,3.0,,,,,3.0,1.0,,,2.0,1.0,1.0,0.0612,-0.37,,,,,,,,,,,,,,,,,
14607841,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188.0,823,M,248331,EUR,728179200,D,44,44,False,67.0,64.0,7.0,6.0,1.0,21.0,21.0,43.0,46.0,7.0,11.0,1.0,3.0,,,,67.0,76.0,7.3,3.0,0.0289818,,1,,0.27,0.27,-0.52,,,,,4.0,1.0,,,1.0,1.0,1.0,,,3.0,,,0.0427,-0.02,1.0,1.0,4.0,1.0,,,,,,,,,,,,,
14607841,home,Club Brugge KV,Joaquin Seys,joaquin-seys,J. Seys,D,65,178.0,1482,M,1395881,EUR,1111968000,D,65,65,False,69.0,61.0,5.0,2.0,0.0,19.0,21.0,42.0,48.0,1.0,3.0,1.0,4.0,,,,90.0,92.0,6.7,15.0,0.105989,,1,,0.17,0.43,-0.94,,,,3.0,6.0,1.0,,,3.0,2.0,1.0,1.0,,2.0,3.0,,0.0596,0.53,,,,1.0,1.0,1.0,1.0,0.7217,,,,,,,,,
14607841,home,Club Brugge KV,Lynnt Audoor,lynnt-audoor,L. Audoor,M,62,184.0,234,M,1067539,EUR,1066003200,M,62,62,False,30.0,26.0,3.0,3.0,1.0,9.0,9.0,17.0,21.0,,3.0,,2.0,,,,45.0,40.0,7.0,7.0,0.156601,,0,,0.31,0.03,0.13,,,,1.0,3.0,,1.0,,,2.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
14607841,home,Club Brugge KV,Raphael Onyedika,raphael-onyedika,R. Onyedika,M,15,184.0,6213,M,1129862,EUR,987638400,M,15,15,False,16.0,15.0,1.0,1.0,0.0,2.0,3.0,13.0,13.0,1.0,3.0,,,,,,16.0,19.0,6.9,2.0,0.0230483,,0,,0.09,0.09,0.21,,,,,2.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,
14607841,home,Club Brugge KV,Carlos Forbs,carlos-borges,C. Forbs,F,9,169.0,11145,M,1069486,EUR,1079654400,M,9,9,False,36.0,29.0,1.0,1.0,0.0,3.0,3.0,26.0,33.0,,1.0,,,,,,76.0,53.0,7.6,16.0,0.652192,,1,,0.65,0.38,-0.21,,Carlos Forbs,,3.0,4.0,,,,,1.0,1.0,3.0,,2.0,2.0,,0.0651,0.54,,,,1.0,,1.0,1.0,0.8403,,,,,,,,,
14607841,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194.0,2941,M,118085,EUR,714614400,M,20,20,False,98.0,87.0,6.0,4.0,0.0,27.0,29.0,60.0,69.0,2.0,6.0,2.0,3.0,,,,90.0,115.0,8.6,14.0,0.737931,,1,,1.0,0.24,-0.13,,,,1.0,2.0,1.0,,,1.0,4.0,3.0,1.0,,,1.0,1.0,0.1082,-0.63,,1.0,,2.0,,,,,True,1.0,,,,,,,
14607841,home,Club Brugge KV,Christos Tzolis,tzolis-christos,C. Tzolis,M,8,180.0,9518,M,1031259,EUR,1012348800,M,8,8,False,50.0,44.0,2.0,2.0,0.0,7.0,8.0,37.0,42.0,,6.0,,4.0,,,,90.0,75.0,6.5,17.0,0.587741,,4,,0.3,0.54,-0.34,,,,5.0,8.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.7099,-0.75,2.0,,4.0,3.0,,1.0,,0.4141,,1.0,absolute_christostzolis,2.0,,,,,
