match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_keyPass,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalOffside,captain,stat_goals,stat_goodHighClaim,stat_errorLeadToAShot
12504702,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12749,M,yannsommer,16206,EUR,598320000,G,1,1,False,34.0,30.0,14.0,10.0,0.0,28.0,28.0,2.0,6.0,1.0,7.0,2.0,2.0,1.0,90.0,39.0,7.6,4.0,0.00045222,0,0.9623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504702,home,Inter,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10877,M,benpavard21,787505,EUR,827971200,D,28,28,False,52.0,47.0,3.0,1.0,0.0,30.0,31.0,17.0,21.0,,4.0,,,,90.0,64.0,7.1,6.0,0.0201829,0,,2.0,3.0,5.0,9.0,2.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
12504702,home,Inter,Stefan de Vrij,stefan-de-vrij,S. de Vrij,D,6,188,5674,M,Stefandevrij,91046,EUR,697248000,D,6,6,False,39.0,35.0,2.0,,0.0,28.0,28.0,7.0,11.0,5.0,5.0,,,,90.0,50.0,7.1,4.0,0.00375612,1,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,0.0829,,,,,,,,,,,,,,,,,
12504702,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190,15274,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,51.0,45.0,4.0,2.0,0.0,20.0,21.0,27.0,33.0,,3.0,,,,70.0,64.0,7.1,9.0,0.0853713,1,,1.0,1.0,5.0,3.0,2.0,1.0,,1.0,4.0,,,,1.0,,0.0299,3.0,2.0,1.0,,,,,,,,,,,,,,
12504702,home,Inter,Denzel Dumfries,denzel-dumfries,D. Dumfries,M,2,189,15021,M,ddumfries2,759520,EUR,829785600,M,2,2,False,28.0,21.0,1.0,1.0,0.0,6.0,7.0,15.0,23.0,,2.0,,,,90.0,46.0,7.8,13.0,0.275633,2,,3.0,6.0,5.0,8.0,1.0,,,1.0,2.0,,,,,,0.1285,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1555,,,,,,
12504702,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,46.0,39.0,3.0,1.0,0.0,11.0,12.0,28.0,35.0,,3.0,,,,70.0,61.0,6.7,12.0,0.143453,2,,1.0,1.0,4.0,4.0,,1.0,,1.0,,,,,,,0.0308,1.0,,1.0,,2.0,1.0,,,2.0,1.0,,2.0,,,,,
12504702,home,Inter,Piotr Zieliński,piotr-zielinski,P. Zieliński,M,7,180,18478,M,zielu_94,138605,EUR,769392000,M,7,7,False,56.0,51.0,4.0,4.0,0.0,20.0,22.0,32.0,38.0,,2.0,,,,84.0,66.0,6.9,9.0,0.0917395,1,,,1.0,4.0,2.0,,,,1.0,1.0,,,,,,0.0219,4.0,1.0,2.0,2.0,,,,,1.0,,,1.0,,,,,
12504702,home,Inter,Henrikh Mkhitaryan,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178,8680,M,micki_taryan,37151,EUR,601344000,M,22,22,False,65.0,61.0,1.0,,0.0,16.0,17.0,45.0,49.0,1.0,5.0,,,,90.0,73.0,6.5,7.0,0.191827,2,,2.0,,5.0,,,,,,,,,2.0,1.0,,0.5463,1.0,,2.0,2.0,,,,1.0,,1.0,0.1996,1.0,,,,,
12504702,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,33.0,28.0,1.0,1.0,1.0,12.0,14.0,19.0,28.0,1.0,4.0,,,,76.0,51.0,8.2,12.0,0.534756,1,,,,1.0,2.0,,1.0,,1.0,1.0,,,,,,0.0364,9.0,3.0,3.0,,,,3.0,1.0,,1.0,0.072,,1.0,,,,
12504702,home,Inter,Marcus Thuram,marcus-thuram,M. Thuram,F,9,192,25521,M,m_thuram,791702,EUR,870825600,F,9,9,False,23.0,16.0,,,0.0,4.0,5.0,12.0,18.0,,3.0,,,,90.0,34.0,6.4,11.0,0.0480356,4,,,2.0,2.0,4.0,,2.0,1.0,,1.0,,,2.0,1.0,,0.7016,,,,,1.0,,,2.0,1.0,3.0,0.5735,,1.0,,,,
