match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_punches,stat_errorLeadToAShot,stat_goals,stat_totalOffside
12513659,home,SC Farense,Kaique,Kaique,,kaique,Kaique,G,1,190,577,M,1167067,EUR,1050451200,G,1,1,False,32.0,22.0,15.0,5.0,0.0,19.0,20.0,3.0,12.0,1.0,1.0,15.0,1.0,1.0,90.0,44.0,6.5,11.0,0.00280905,0,-0.5609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513659,home,SC Farense,Pastor,,,pastor,Pastor,D,2,176,138,M,1046354,EUR,951004800,D,28,28,False,40.0,35.0,6.0,4.0,0.0,12.0,13.0,23.0,29.0,1.0,6.0,4.0,,,90.0,78.0,6.7,17.0,0.108753,1,,2.0,2.0,9.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,0.038,0.0378,1.0,,,,,,,,,,,,,
12513659,home,SC Farense,Claudio Falcão,,,claudio-falcao,C. Falcão,D,29,187,132,M,845699,EUR,773193600,D,29,29,False,61.0,48.0,15.0,9.0,0.0,32.0,36.0,16.0,26.0,2.0,4.0,8.0,,,90.0,77.0,7.2,16.0,0.0133851,0,,1.0,5.0,7.0,,,1.0,,,4.0,4.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,
12513659,home,SC Farense,Tomás Ribeiro,,,tomas-ribeiro,T. Ribeiro,D,16,185,137,M,996765,EUR,925430400,D,5,5,False,44.0,37.0,8.0,4.0,0.0,34.0,35.0,3.0,9.0,3.0,4.0,,,,74.0,53.0,6.7,7.0,0.00271212,0,,,2.0,2.0,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,
12513659,home,SC Farense,Paulo Victor,Paulo Victor,,paulo-victor,P. Victor,D,64,180,200,M,1108505,EUR,987120000,D,2,2,False,41.0,27.0,15.0,6.0,0.0,17.0,20.0,11.0,22.0,1.0,5.0,2.0,,,90.0,62.0,7.0,16.0,0.110548,0,,1.0,3.0,3.0,,,,,,3.0,2.0,1.0,1.0,,3.0,1.0,,,,1.0,,,,,,,,,,,,
12513659,home,SC Farense,Derick Poloni,,,derick-poloni,D. Poloni,D,6,173,38,M,892169,EUR,746841600,D,31,31,False,9.0,5.0,2.0,,0.0,1.0,2.0,4.0,11.0,,3.0,2.0,,,61.0,24.0,6.9,9.0,0.00671834,2,,4.0,1.0,2.0,,,1.0,,,1.0,1.0,2.0,1.0,,1.0,,0.1958,,,,1.0,1.0,1.0,,,,,,,,,
12513659,home,SC Farense,Rony Lopes,,,rony-lopes,R. Lopes,M,16,174,626,M,190147,EUR,820108800,M,20,20,False,33.0,26.0,4.0,2.0,0.0,6.0,8.0,22.0,30.0,2.0,7.0,6.0,,,90.0,63.0,7.5,17.0,0.158546,2,,5.0,,6.0,1.0,4.0,2.0,2.0,2.0,,1.0,2.0,1.0,3.0,1.0,1.0,0.1594,0.397,2.0,2.0,,,,,,,,,,,,
12513659,home,SC Farense,Miguel Menino,,,menino-miguel,M. Menino,M,8,181,78,M,1163100,EUR,1042156800,M,93,93,False,13.0,10.0,3.0,1.0,0.0,3.0,4.0,7.0,12.0,,1.0,3.0,,,61.0,21.0,6.5,8.0,0.00311536,0,,3.0,1.0,3.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12513659,home,SC Farense,Neto,,,neto,Neto,M,8,181,91,M,843358,EUR,683769600,M,6,6,False,29.0,25.0,2.0,2.0,0.0,12.0,12.0,13.0,17.0,1.0,1.0,4.0,,,74.0,36.0,6.8,5.0,0.0141541,0,,,,1.0,,,,,,,2.0,,,1.0,,2.0,,,,,,,,True,,,,,,,,
12513659,home,SC Farense,Tomané,,,tomane,Tomané,F,7,185,176,M,126076,EUR,719798400,F,9,9,False,17.0,11.0,1.0,1.0,0.0,,1.0,11.0,17.0,5.0,9.0,2.0,,,90.0,39.0,7.5,11.0,0.566084,0,,1.0,5.0,7.0,,1.0,2.0,1.0,,5.0,,1.0,1.0,2.0,3.0,,,,2.0,,,,1.0,,1.0,,,,,,,
