match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_totalTackle,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_challengeLost,stat_wasFouled,stat_totalContest,stat_wonContest,stat_wonTackle,stat_fouls,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,captain,stat_accurateCross,stat_interceptionWon,stat_dispossessed,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_outfielderBlock,stat_goals
12421253,home,RC Sporting Charleroi,Martin Delavallée,martin-delavalee,M. Delavallée,G,55,185.0,123,M,1141106,EUR,1079568000,G,55,55,False,28.0,24.0,9.0,5.0,0.0,22.0,22.0,2.0,6.0,13.0,3.0,5.0,2.0,2.0,90.0,44.0,7.8,4.0,0.00134415,0,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421253,home,RC Sporting Charleroi,Žan Rogelj,zan-rogelj,Ž. Rogelj,D,21,175.0,87,M,888605,EUR,943488000,D,29,29,False,31.0,27.0,2.0,1.0,0.0,15.0,17.0,12.0,16.0,2.0,,,,,45.0,41.0,6.6,7.0,0.019729,0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421253,home,RC Sporting Charleroi,Cheick Keita,cheick-keita,C. Keita,D,95,185.0,229,M,1407973,EUR,1049241600,D,95,95,False,59.0,54.0,4.0,2.0,0.0,37.0,38.0,17.0,21.0,1.0,,,,,90.0,64.0,6.3,8.0,0.00399512,0,,,1.0,,,Cheick Keita,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12421253,home,RC Sporting Charleroi,Stelios Andreou,andreou-stelios,S. Andreou,D,5,187.0,339,M,994282,EUR,1027468800,D,21,21,False,74.0,66.0,12.0,8.0,0.0,45.0,47.0,21.0,27.0,5.0,,,,,90.0,83.0,6.8,10.0,0.0121057,0,,,2.0,,1.0,,,,1.0,1.0,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12421253,home,RC Sporting Charleroi,Mardochee Nzita,mardochee-nzita,M. Nzita,D,24,178.0,111,M,990726,EUR,951350400,D,24,24,False,35.0,31.0,2.0,1.0,0.0,15.0,19.0,16.0,16.0,2.0,,,,,61.0,55.0,6.9,6.0,0.0219313,0,,,8.0,2.0,,,,,4.0,2.0,5.0,,,,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
12421253,home,RC Sporting Charleroi,Yassine Titraoui,yassine-titraoui,Y. Titraoui,M,22,170.0,2454,M,1094538,EUR,1059177600,M,22,22,False,48.0,45.0,3.0,3.0,0.0,22.0,22.0,23.0,27.0,3.0,,,,,78.0,58.0,7.5,5.0,0.182054,2,,1.0,3.0,1.0,1.0,Yacine Titraoui,,,,2.0,1.0,,1.0,,2.0,,,1.0,2.0,1.0,1.0,1.0,0.0815,0.5663,,,,,,,,,,,,
12421253,home,RC Sporting Charleroi,Adem Zorgane,adem-zorgane,A. Zorgane,M,8,184.0,6525,M,1000472,EUR,947116800,M,6,6,False,124.0,102.0,15.0,8.0,0.0,41.0,42.0,63.0,89.0,8.0,,,,,90.0,139.0,7.5,28.0,0.284347,0,,7.0,1.0,1.0,4.0,,,1.0,,2.0,1.0,,1.0,,,,,1.0,1.0,,,,,,AdemZorgane,True,2.0,1.0,,,,,,,,
12421253,home,RC Sporting Charleroi,Jeremy Petris,jeremy-petris,J. Petris,D,29,183.0,120,M,910937,EUR,885945600,M,98,98,False,42.0,33.0,7.0,4.0,0.0,13.0,14.0,20.0,34.0,2.0,,,,,90.0,65.0,6.7,21.0,0.0218807,0,,6.0,7.0,1.0,,,,1.0,4.0,5.0,,,1.0,,1.0,3.0,1.0,,1.0,,,,,,,,,2.0,1.0,,,,,,,
12421253,home,RC Sporting Charleroi,Daan Heymans,heymans-daan,D. Heymans,M,38,186.0,544,M,845344,EUR,929404800,M,18,18,False,44.0,33.0,1.0,,0.0,14.0,16.0,19.0,30.0,1.0,,,,,90.0,55.0,7.2,13.0,0.0305378,2,,2.0,15.0,1.0,,,,4.0,12.0,4.0,2.0,,,,1.0,1.0,1.0,1.0,,,2.0,,0.9068,,,,,,,1.0,,,,,,
12421253,home,RC Sporting Charleroi,Isaac Mbenza,isaac-mbenza,I. Mbenza,F,7,188.0,141,M,789000,EUR,826243200,M,7,7,False,27.0,21.0,4.0,4.0,0.0,11.0,13.0,10.0,18.0,2.0,,,,,67.0,35.0,6.7,12.0,0.0481566,0,,4.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
