match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_clearanceOffLine,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_hitWoodwork,stat_errorLeadToAGoal,stat_wonContest,captain,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_penaltyFaced,stat_penaltyConceded
12499807,home,Holstein Kiel,Timon Weiner,timon-weiner,T. Weiner,G,1,191,134,M,1140362,EUR,916617600,G,1,1,False,35.0,23.0,21.0,9.0,0.0,17.0,18.0,6.0,17.0,1.0,1.0,3.0,11.0,2.0,2.0,3.0,1.0,90.0,51.0,7.1,12.0,0.00382122,0,-0.6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499807,home,Holstein Kiel,Timo Becker,timo-becker,T. Becker,D,5,186,174,M,814735,EUR,859248000,D,17,17,False,37.0,25.0,8.0,1.0,0.0,16.0,20.0,9.0,17.0,,3.0,9.0,6.0,,,,,90.0,63.0,6.9,14.0,0.0163893,0,,4.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499807,home,Holstein Kiel,David Zec,zec-david,D. Zec,D,26,185,265,M,887911,EUR,947030400,D,26,26,False,49.0,38.0,7.0,3.0,0.0,27.0,32.0,11.0,17.0,6.0,9.0,17.0,5.0,,,,,90.0,82.0,8.2,12.0,0.0369294,3,,8.0,9.0,,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8106,1.2136,1.0,,,,,,,,,,,,,,,
12499807,home,Holstein Kiel,Marco Komenda,marco-komenda,M. Komenda,D,3,187,42,M,579260,EUR,848966400,D,3,3,False,6.0,3.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,1.0,1.0,,1.0,,,,,19.0,11.0,7.5,3.0,0.00103964,0,,2.0,2.0,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
12499807,home,Holstein Kiel,Nicolai Remberg,nicolai-remberg,N. Remberg,M,21,187,305,M,1064305,EUR,961372800,M,22,22,False,38.0,29.0,7.0,4.0,0.0,17.0,20.0,12.0,18.0,5.0,8.0,6.0,4.0,,,,,90.0,62.0,7.0,10.0,0.0313043,2,,3.0,8.0,,1.0,2.0,2.0,1.0,,1.0,,1.0,,,3.0,0.146,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
12499807,home,Holstein Kiel,Lasse Rosenboom,lasse-rosenboom,L. Rosenboom,M,23,190,90,M,980616,EUR,1011398400,M,23,23,False,6.0,2.0,1.0,1.0,0.0,2.0,2.0,,4.0,1.0,4.0,2.0,1.0,,,,,45.0,22.0,6.3,6.0,4.339e-05,0,,,1.0,,,2.0,3.0,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
12499807,home,Holstein Kiel,Finn Porath,finn-porath,F. Porath,M,27,179,117,M,789714,EUR,856656000,M,8,8,False,11.0,3.0,2.0,,0.0,3.0,7.0,,4.0,1.0,2.0,5.0,3.0,,,,,45.0,19.0,6.5,8.0,2.265e-05,0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
12499807,home,Holstein Kiel,Lewis Holtby,lewis-holtby,L. Holtby,M,90,176,208,M,1135884,EUR,653616000,M,10,10,False,44.0,28.0,7.0,1.0,0.0,16.0,21.0,12.0,24.0,,4.0,8.0,9.0,,,,,90.0,68.0,6.6,20.0,0.00906654,0,,3.0,6.0,1.0,,2.0,2.0,2.0,1.0,1.0,,,,,1.0,,,,Lewis,Holtby,,,2.0,,,,1.0,True,1.0,,,,
12499807,home,Holstein Kiel,John Tolkin,john-tolkin,J. Tolkin,M,47,170,602,M,1015186,EUR,1028073600,M,47,47,False,33.0,21.0,6.0,1.0,1.0,10.0,13.0,12.0,26.0,1.0,4.0,8.0,1.0,,,,,90.0,61.0,6.9,21.0,0.21125,0,,1.0,3.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,6.0,1.0,1.0,,
12499807,home,Holstein Kiel,Phil Harres,phil-harres,P. Harres,F,19,193,415,M,1121902,EUR,1017014400,F,19,19,False,20.0,7.0,2.0,,0.0,4.0,4.0,3.0,16.0,1.0,3.0,1.0,2.0,,,,,90.0,29.0,6.5,15.0,0.00359069,0,,5.0,8.0,2.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,
