match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_totalOffside,captain,stat_duelLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_bigChanceMissed,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_challengeLost,stat_goals,player_firstName,player_lastName,stat_errorLeadToAGoal
12436921,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7610,M,jpickford1,138530,EUR,762998400,G,1,1,False,29.0,25.0,12.0,8.0,1.0,21.0,22.0,4.0,7.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,90.0,37.0,7.8,4.0,0.00752546,1.0,0,0.0552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436921,home,Everton,Jake O'Brien,jake-obrien,J. O'Brien,D,15,197,1429,M,,998253,EUR,989884800,D,15,15,False,45.0,35.0,3.0,2.0,0.0,27.0,31.0,8.0,14.0,3.0,5.0,,1.0,4.0,1.0,,,,,,90.0,65.0,7.1,13.0,0.00548607,,0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12436921,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2558,M,,145188,EUR,722131200,D,6,6,False,53.0,45.0,8.0,6.0,1.0,37.0,41.0,8.0,12.0,3.0,4.0,1.0,10.0,,,,,,,,90.0,70.0,8.3,9.0,0.206206,1.0,1,,,,1.0,,True,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0383,,,,,,,,,,,,,,
12436921,home,Everton,Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2591,M,,979563,EUR,1025136000,D,32,32,False,69.0,55.0,11.0,4.0,0.0,37.0,40.0,18.0,29.0,4.0,6.0,,8.0,2.0,1.0,,,,,,90.0,85.0,7.4,16.0,0.0120317,,1,,,,,,,3.0,1.0,1.0,,1.0,1.0,,1.0,0.2254,2.0,1.0,,,,,,,,,,,,
12436921,home,Everton,Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4082,M,mikola_16,876643,EUR,927936000,D,19,19,False,34.0,21.0,5.0,1.0,0.0,11.0,17.0,11.0,20.0,2.0,4.0,1.0,3.0,3.0,1.0,,,,,,88.0,51.0,7.2,19.0,0.41746,1.0,0,,,,,1.0,,3.0,,,,1.0,,,,,2.0,,3.0,1.0,1.0,,,,,,,,,
12436921,home,Everton,James Garner,james-garner,J. Garner,M,37,182,3008,M,,927361,EUR,984441600,M,37,37,False,37.0,30.0,5.0,2.0,1.0,16.0,18.0,17.0,28.0,2.0,5.0,2.0,3.0,8.0,1.0,,,,,,82.0,61.0,8.4,15.0,0.541618,3.0,1,,,,2.0,,,,,,1.0,2.0,1.0,,,0.0406,,,9.0,3.0,,1.0,1.0,0.2005,,,,,,
12436921,home,Everton,Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,21481,M,iganagueye,106337,EUR,622771200,M,27,27,False,40.0,37.0,4.0,3.0,0.0,25.0,26.0,12.0,14.0,1.0,5.0,,,6.0,2.0,,,,,,90.0,56.0,6.9,7.0,0.00659276,1.0,1,,,,,,,5.0,,1.0,,2.0,1.0,,1.0,0.0121,1.0,,,,3.0,,,,1.0,,,,,
12436921,home,Everton,Jesper Lindstrøm,jesper-lindstrom,J. Lindstrøm,M,19,182,2672,M,,947929,EUR,951782400,M,29,29,False,30.0,28.0,4.0,3.0,0.0,16.0,17.0,12.0,13.0,,,,1.0,5.0,,,,,,,75.0,40.0,6.5,7.0,0.0797596,,1,,3.0,,1.0,,,7.0,,,,,,,2.0,0.2423,1.0,1.0,,,1.0,1.0,,0.1916,,,,,,
12436921,home,Everton,Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1269,M,,96535,EUR,725846400,M,16,16,False,35.0,29.0,4.0,2.0,0.0,11.0,11.0,18.0,25.0,,3.0,1.0,,4.0,,,,,,,90.0,47.0,7.5,10.0,0.109245,2.0,3,,5.0,3.0,,,,6.0,1.0,,,,,,,0.7868,3.0,1.0,1.0,,,1.0,,0.7792,1.0,1.0,1.0,,,
12436921,home,Everton,Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,180,54701,M,ilimanndiaye10,914309,EUR,952300800,M,10,10,False,32.0,22.0,,,0.0,10.0,13.0,12.0,19.0,,9.0,,1.0,6.0,3.0,,,,,,90.0,47.0,8.2,11.0,0.0963296,2.0,2,,4.0,4.0,1.0,,,5.0,1.0,,1.0,2.0,1.0,,2.0,0.4582,2.0,,,,,1.0,,0.3677,,2.0,1.0,,,
