match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_wasFouled,captain,stat_totalCross,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_totalOffside,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_goodHighClaim,stat_accurateKeeperSweeper,stat_bigChanceMissed
10411612,home,Salernitana,Guillermo Ochoa,,,guillermo-ochoa,G. Ochoa,G,13,185.0,4425,M,GuiOchoa,15497,EUR,490060800,G,13,13,False,25.0,13.0,20.0,8.0,9.0,11.0,4.0,14.0,1.0,1.0,10.0,7.0,9.0,1.0,90.0,40.0,7.9,12.0,0.0,0.0,0.00078172,0,1.1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411612,home,Salernitana,Matteo Lovato,,,lovato-matteo,M. Lovato,D,20,188.0,274,M,,982601,EUR,950486400,D,66,66,False,14.0,13.0,1.0,1.0,10.0,10.0,3.0,4.0,2.0,1.0,,,,,64.0,24.0,6.6,3.0,0.0,0.0,0.00043293,0,,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10411612,home,Salernitana,Ivan Radovanović,,,ivan-radovanovic,I. Radovanović,D,7,186.0,66,M,,19394,EUR,588816000,D,16,16,False,30.0,21.0,10.0,6.0,15.0,20.0,6.0,10.0,8.0,2.0,7.0,,,,90.0,41.0,6.5,10.0,0.0,0.0,0.00292596,0,,1.0,6.0,1.0,,,4.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,
10411612,home,Salernitana,Federico Fazio,,,federico-fazio,F. Fazio,D,,195.0,373,M,,27569,EUR,542937600,D,17,17,False,40.0,27.0,4.0,,19.0,25.0,8.0,16.0,3.0,1.0,7.0,,,,90.0,53.0,6.8,14.0,0.0,0.0,0.00370356,0,,2.0,3.0,3.0,,4.0,1.0,1.0,,,2.0,,True,1.0,,,,,,,,,,,,,,,
10411612,home,Salernitana,Junior Sambia,,,junior-sambia,J. Sambia,M,,185.0,154,M,,603738,EUR,842054400,M,6,6,False,23.0,21.0,,,4.0,5.0,17.0,23.0,9.0,,1.0,,,,84.0,54.0,6.1,16.0,0.1211,0.0,0.0379004,2,,,3.0,2.0,,,,,1.0,1.0,2.0,3.0,,5.0,2.0,4.0,2.0,,,,,,,,,,,,
10411612,home,Salernitana,Lassana Coulibaly,,,coulibaly-lassana,L. Coulibaly,M,29,183.0,2761,M,,804621,EUR,829094400,M,18,18,False,34.0,27.0,2.0,,13.0,16.0,15.0,21.0,6.0,1.0,8.0,,,,90.0,46.0,6.9,10.0,0.0,0.0,0.192858,0,,,2.0,,,1.0,2.0,1.0,,2.0,2.0,,,3.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,
10411612,home,Salernitana,Emil Bohinen,,,emil-bohinen,E. Bohinen,M,37,185.0,230,M,,824584,EUR,921196800,M,8,8,False,33.0,29.0,1.0,,15.0,15.0,14.0,18.0,2.0,,7.0,,,,84.0,49.0,7.2,6.0,0.0,0.0,0.0185495,0,,,5.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,,2.0,,,1.0,,,,,,1.0,,,,,,,,
10411612,home,Salernitana,Tonny Vilhena,,,tonny-vilhena,T. Vilhena,M,52,175.0,505,M,,149659,EUR,789091200,M,10,10,False,13.0,9.0,2.0,1.0,5.0,5.0,5.0,12.0,7.0,,3.0,,,,63.0,31.0,6.4,13.0,0.0714,0.0,0.0685761,1,,,4.0,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,,4.0,3.0,2.0,1.0,,1.0,,2.0,1.0,1.0,,,,,,
10411612,home,Salernitana,Domagoj Bradarić,,,domagoj-bradaric,D. Bradarić,M,12,178.0,1470,M,,897594,EUR,944784000,M,3,3,False,25.0,19.0,1.0,,9.0,12.0,10.0,16.0,6.0,,2.0,,,,90.0,44.0,6.1,14.0,0.0,0.0,0.0605408,0,,,,2.0,1.0,,,,,3.0,,,,3.0,1.0,2.0,,,,,,,,,,,,,
10411612,home,Salernitana,Krzysztof Piątek,,,krzysztof-piatek,K. Piątek,F,9,183.0,13210,M,pjona_9,558738,EUR,804556800,F,99,99,False,20.0,16.0,2.0,1.0,5.0,6.0,11.0,14.0,4.0,1.0,1.0,,,,90.0,36.0,7.1,8.0,0.058,0.0,0.0499641,2,,2.0,7.0,1.0,1.0,,1.0,,3.0,3.0,,3.0,,,,1.0,1.0,,,,2.0,1.0,,1.0,,,,,
