match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,captain,stat_totalOffside,stat_shotOffTarget,stat_outfielderBlock,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine
10382264,home,FC Utrecht,Fabian de Keijzer,fabian-de-keijzer,F. d. Keijzer,G,1,193,109,M,856743,EUR,957916800,G,16,16,False,16.0,8.0,11.0,3.0,5.0,8.0,3.0,8.0,1.0,8.0,1.0,2.0,1.0,90.0,24.0,7.3,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382264,home,FC Utrecht,Sean Klaiber,sean-klaiber,S. Klaiber,D,31,184,217,M,336535,EUR,775612800,D,17,17,False,90.0,67.0,15.0,4.0,22.0,26.0,46.0,67.0,1.0,10.0,,,,90.0,112.0,7.3,29.0,0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
10382264,home,FC Utrecht,Mike van der Hoorn,mike-van-der-hoorn,M. v. d. Hoorn,D,3,190,158,M,152414,EUR,719107200,D,33,33,False,61.0,52.0,5.0,3.0,28.0,32.0,24.0,29.0,1.0,7.0,,,,90.0,72.0,7.9,9.0,2,,,,7.0,2.0,12.0,,,,,1.0,,2.0,1.0,,,2.0,4.0,3.0,1.0,,,,,,,,,,,,
10382264,home,FC Utrecht,Nick Viergever,nick-viergever,N. Viergever,D,24,182,150,M,46900,EUR,618105600,D,24,24,False,83.0,75.0,7.0,4.0,38.0,39.0,37.0,44.0,2.0,10.0,,,,90.0,90.0,7.0,8.0,0,,,,,2.0,3.0,2.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,True,1.0,,,,,,,,,,
10382264,home,FC Utrecht,Ramon Hendriks,ramon-hendriks,R. Hendriks,D,3,189,435,M,916943,EUR,995414400,D,14,14,False,50.0,36.0,5.0,3.0,14.0,17.0,22.0,38.0,3.0,8.0,,,,90.0,74.0,7.2,22.0,0,5.0,,3.0,1.0,5.0,5.0,,2.0,2.0,,,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,
10382264,home,FC Utrecht,Jens Toornstra,jens-toornstra,J. Toornstra,M,18,178,203,M,99960,EUR,607651200,M,18,18,False,52.0,38.0,10.0,4.0,11.0,14.0,30.0,44.0,,4.0,,,,90.0,69.0,7.2,20.0,1,6.0,3.0,,,1.0,2.0,,1.0,1.0,,,3.0,1.0,3.0,,,,1.0,1.0,,,,1.0,,,,,,,,,
10382264,home,FC Utrecht,Luuk Brouwers,luuk-brouwers,L. Brouwers,M,8,180,141,M,794014,EUR,894153600,M,8,8,False,61.0,48.0,7.0,2.0,21.0,22.0,28.0,40.0,,11.0,,,,90.0,76.0,7.8,15.0,1,1.0,1.0,3.0,5.0,4.0,12.0,,1.0,1.0,,,2.0,1.0,1.0,,,1.0,4.0,3.0,2.0,,,,1.0,,,,,,,,
10382264,home,FC Utrecht,Sander van de Streek,sander-van-de-streek,S. v. d. Streek,M,22,180,185,M,220155,EUR,732931200,M,22,22,False,35.0,21.0,3.0,2.0,4.0,7.0,17.0,30.0,,4.0,,,,80.0,56.0,6.9,22.0,3,2.0,,3.0,5.0,8.0,10.0,1.0,,,,2.0,3.0,2.0,1.0,,,,2.0,1.0,3.0,,,2.0,,2.0,1.0,,,,,,
10382264,home,FC Utrecht,Taylor Booth,taylor-booth,T. Booth,M,8,173,530,M,906024,EUR,991267200,F,10,10,False,27.0,24.0,,,8.0,9.0,18.0,29.0,,2.0,,,,64.0,54.0,7.1,17.0,1,11.0,2.0,1.0,1.0,5.0,8.0,,4.0,1.0,,,2.0,1.0,2.0,,,,3.0,2.0,4.0,,,1.0,,,,,,,,,
10382264,home,FC Utrecht,Anastasios Douvikas,douvikas-anastasios,A. Douvikas,F,11,184,4415,M,894863,EUR,933552000,F,9,9,False,16.0,8.0,,,3.0,6.0,5.0,10.0,1.0,1.0,,,,90.0,40.0,6.4,17.0,7,,,2.0,3.0,7.0,9.0,,5.0,2.0,,,3.0,,,,,2.0,2.0,2.0,2.0,,,2.0,,2.0,3.0,2.0,,,,,
10382264,home,FC Utrecht,Bart Ramselaar,bart-ramselaar,B. Ramselaar,M,10,180,132,M,788951,EUR,836006400,F,23,23,False,24.0,18.0,,,5.0,6.0,13.0,19.0,,3.0,,,,64.0,32.0,6.5,11.0,2,1.0,,,1.0,3.0,1.0,,2.0,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,
