match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_outfielderBlock,stat_keyPass,stat_wasFouled,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,captain,stat_blockedScoringAttempt,stat_accurateCross,stat_totalOffside,player_sofascoreId,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork
10411495,home,Salernitana,Luigi Sepe,luigi-sepe,L. Sepe,G,185.0,170,M,46714,EUR,673660800,G,33,33,False,42.0,19.0,32.0,9.0,14.0,16.0,5.0,26.0,1.0,12.0,2.0,1.0,1.0,1.0,90.0,49.0,6.6,23.0,0.0,0.0,0.00228425,0,-0.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411495,home,Salernitana,Norbert Gyömbér,norbert-gyomber,N. Gyömbér,D,189.0,301,M,224456,EUR,710121600,D,23,23,False,31.0,23.0,7.0,4.0,18.0,22.0,5.0,9.0,4.0,8.0,,,,,89.0,44.0,7.0,8.0,0.0,0.0,0.00095422,0,,23,2.0,4.0,6.0,1.0,1.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,
10411495,home,Salernitana,Flavius Daniliuc,flavius-daniliuc,F. Daniliuc,D,186.0,441,M,901885,EUR,988329600,D,5,5,False,33.0,26.0,7.0,4.0,21.0,23.0,5.0,10.0,7.0,3.0,,,,,90.0,43.0,6.7,7.0,0.0,0.0,0.00643947,0,,24,2.0,3.0,2.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10411495,home,Salernitana,Lorenzo Pirola,lorenzo-pirola,L. Pirola,D,185.0,996,M,965014,EUR,1014163200,D,98,98,False,38.0,25.0,8.0,3.0,15.0,22.0,10.0,16.0,4.0,2.0,,,,,90.0,53.0,7.4,13.0,0.0,0.0,0.00679285,0,,5,2.0,2.0,7.0,,1.0,3.0,3.0,,,,2.0,3.0,,2.0,,,,,,,,,,,,,,,,
10411495,home,Salernitana,Antonio Candreva,antonio-candreva,A. Candreva,F,180.0,936,M,27982,EUR,541468800,M,87,87,False,15.0,14.0,2.0,2.0,5.0,5.0,9.0,14.0,,3.0,,,,,89.0,40.0,7.1,7.0,0.1104,0.0,0.0139702,2,,87,,1.0,5.0,,1.0,2.0,1.0,,,,,,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,
10411495,home,Salernitana,Lassana Coulibaly,coulibaly-lassana,L. Coulibaly,M,183.0,2761,M,804621,EUR,829094400,M,18,18,False,31.0,22.0,4.0,1.0,10.0,13.0,12.0,18.0,3.0,11.0,,,,,90.0,56.0,7.7,12.0,0.029,0.2373,0.0169563,1,,29,2.0,6.0,13.0,2.0,1.0,6.0,4.0,1.0,,,1.0,,3.0,3.0,,1.0,3.0,2.0,,1.0,1.0,,,,,,,,,
10411495,home,Salernitana,Ivan Radovanović,ivan-radovanovic,I. Radovanović,D,186.0,66,M,19394,EUR,588816000,M,16,16,False,25.0,20.0,2.0,,12.0,13.0,8.0,12.0,1.0,4.0,,,,,90.0,39.0,6.7,5.0,0.0903,0.0,0.00834857,3,,7,1.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,,,3.0,,,2.0,,,,,2.0,,,True,1.0,,,,,,,
10411495,home,Salernitana,Giulio Maggiore,giulio-maggiore,G. Maggiore,M,184.0,222,M,848185,EUR,889660800,M,25,25,False,2.0,,,,,1.0,,1.0,,,,,,,9.0,3.0,6.4,3.0,0.0,0.0,0.0,0,,18,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
10411495,home,Salernitana,Pasquale Mazzocchi,pasquale-mazzocchi,P. Mazzocchi,M,183.0,1368,M,377512,EUR,806803200,M,30,30,False,21.0,16.0,2.0,1.0,10.0,12.0,8.0,12.0,,7.0,,,,,90.0,48.0,6.9,17.0,0.0825,0.0,0.148581,1,,30,1.0,4.0,5.0,,,3.0,1.0,,,,,,3.0,,3.0,2.0,3.0,1.0,,5.0,,,1.0,2.0,1.0,,,,,
10411495,home,Salernitana,Krzysztof Piątek,krzysztof-piatek,K. Piątek,F,183.0,13210,M,558738,EUR,804556800,F,99,99,False,11.0,10.0,,,4.0,5.0,6.0,6.0,3.0,1.0,,,,,59.0,27.0,7.5,3.0,0.6307,0.9154,0.0104763,4,,9,1.0,8.0,5.0,2.0,,,,1.0,,,5.0,,2.0,3.0,,,1.0,1.0,2.0,2.0,2.0,,,,,pjona_9,1.0,,,
