match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_aerialWon,stat_outfielderBlock,stat_bigChanceCreated,player_firstName,player_lastName,stat_errorLeadToAShot,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_blockedScoringAttempt,stat_goals,stat_punches,stat_totalOffside,stat_goodHighClaim
12437671,home,Rayo Vallecano,Augusto Batalla,augusto-batalla,A. Batalla,G,13,186,1488,M,358910,EUR,830822400,G,13,13,False,38.0,26.0,19.0,7.0,0.0,23.0,23.0,3.0,15.0,1.0,11.0,1.0,4.0,4.0,90.0,44.0,7.4,12.0,0.000319,0,0.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437671,home,Rayo Vallecano,Andrei Rațiu,andrei-ratiu,A. Rațiu,D,2,183,8158,M,965031,EUR,898300800,D,2,2,False,46.0,41.0,2.0,1.0,0.0,18.0,20.0,24.0,29.0,7.0,4.0,1.0,,,90.0,73.0,6.7,14.0,0.026984,0,,Sonic,3.0,1.0,9.0,3.0,1.0,7.0,2.0,4.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
12437671,home,Rayo Vallecano,Florian Lejeune,florian-lejeune,F. Lejeune,D,24,190,1047,M,88528,EUR,674697600,D,24,24,False,63.0,52.0,9.0,3.0,0.0,38.0,38.0,14.0,25.0,1.0,5.0,1.0,,,90.0,72.0,6.6,11.0,0.00513047,1,,,,,4.0,1.0,,,,,,,,1.0,1.0,5.0,1.0,2.0,0.0112,,,,,,,,,,,,,,,
12437671,home,Rayo Vallecano,Abdul Mumin,abdul-mumin,A. Mumin,D,16,188,1245,M,846147,EUR,897091200,D,16,16,False,67.0,58.0,8.0,3.0,0.0,50.0,54.0,8.0,14.0,4.0,5.0,1.0,,,90.0,82.0,6.9,12.0,0.00342698,0,,,1.0,,2.0,1.0,,,,2.0,2.0,2.0,,1.0,,6.0,,2.0,,1.0,1.0,,,,,,,,,,,,,
12437671,home,Rayo Vallecano,Josep Chavarría,josep-chavarria,J. Chavarría,D,3,174,630,M,1010421,EUR,892166400,D,3,3,False,54.0,49.0,5.0,3.0,0.0,26.0,29.0,27.0,32.0,2.0,4.0,,,,90.0,90.0,7.6,11.0,0.510081,0,,,7.0,4.0,4.0,,,1.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,
12437671,home,Rayo Vallecano,Pathé Ismaël Ciss,ismaila-ciss,P. I. Ciss,M,6,183,4735,M,913679,EUR,763776000,M,6,6,False,47.0,42.0,4.0,2.0,0.0,22.0,24.0,20.0,23.0,8.0,3.0,1.0,,,75.0,58.0,6.7,6.0,0.0146654,0,,,,,6.0,1.0,1.0,,,5.0,2.0,,,,,,,4.0,,2.0,,,,,1.0,,,,,,,,,
12437671,home,Rayo Vallecano,Unai López,unai-lopez,U. López,M,17,169,518,M,588566,EUR,815011200,M,17,17,False,62.0,55.0,5.0,2.0,0.0,35.0,35.0,20.0,27.0,1.0,2.0,,,,58.0,69.0,7.1,7.0,0.0592887,1,,,,,1.0,,,,,1.0,1.0,,2.0,,1.0,,1.0,1.0,0.0338,,1.0,,,,,,,,,,,,,
12437671,home,Rayo Vallecano,Jorge de Frutos,jorge-de-frutos,J. de Frutos,M,19,173,1878,M,900003,EUR,849312000,M,19,19,False,30.0,23.0,1.0,1.0,0.0,7.0,8.0,17.0,24.0,4.0,3.0,,,,87.0,53.0,6.7,15.0,0.0257778,5,,,2.0,1.0,8.0,1.0,1.0,6.0,3.0,,,3.0,2.0,1.0,4.0,,2.0,3.0,0.9035,1.0,,1.0,,,,2.0,1.0,0.1882,,,,,,
12437671,home,Rayo Vallecano,Isi Palazón,isi-palazon,I. Palazón,M,7,169,2151,M,899982,EUR,788486400,M,7,7,False,42.0,32.0,2.0,1.0,0.0,7.0,7.0,26.0,41.0,2.0,5.0,1.0,,,90.0,59.0,6.6,22.0,0.0298219,2,,,6.0,1.0,6.0,1.0,2.0,,,,,5.0,,,,,,3.0,0.0784,1.0,,,,,,,1.0,0.0748,True,1.0,,,,
12437671,home,Rayo Vallecano,Adrián Embarba,adrian-embarba,A. Embarba,M,23,173,477,M,346516,EUR,705196800,M,21,21,False,23.0,18.0,1.0,,0.0,5.0,7.0,13.0,18.0,3.0,2.0,1.0,,,58.0,35.0,6.6,10.0,0.0630026,2,,,2.0,,7.0,2.0,1.0,,,1.0,,2.0,,2.0,,,,2.0,0.0547,1.0,,,,,,,1.0,0.207,,1.0,,,,
