match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_aerialWon,stat_shotOffTarget,stat_interceptionWon,stat_wonContest,stat_ownGoals,player_sofascoreId,stat_wasFouled,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_punches,stat_goalsPrevented
11396436,away,Darmstadt 98,Fabian Holland,,,fabian-holland,F. Holland,M,32,172,44,M,39718,EUR,647654400,M,32,32,False,27.0,21.0,2.0,1.0,11.0,13.0,10.0,16.0,2.0,,,,,78.0,39.0,6.4,9.0,0.0,0.0,0.0116335,0,,2.0,,1.0,6.0,3.0,2.0,,2.0,,,,1.0,1.0,,,2.0,,True,,,1.0,1.0,,,1.0,,,,,,,
11396436,away,Darmstadt 98,Mathias Honsak,,,mathias-honsak,M. Honsak,M,17,188,255,M,575952,EUR,851040000,M,18,18,False,24.0,21.0,2.0,2.0,7.0,8.0,14.0,16.0,3.0,,,,,77.0,40.0,6.3,11.0,0.0,0.0,0.0252787,0,,,,2.0,6.0,1.0,1.0,,3.0,,,,,,,4.0,,1.0,,,,2.0,,,,1.0,,,,,,,
11396436,away,Darmstadt 98,Luca Pfeiffer,,,luca-pfeiffer,L. Pfeiffer,F,16,196,147,M,842212,EUR,840499200,F,24,24,False,9.0,6.0,,,4.0,6.0,2.0,3.0,2.0,,,,,45.0,12.0,6.3,4.0,0.0,0.0,0.0115965,0,,,,3.0,5.0,1.0,,,,,,1.0,,,,1.0,3.0,,,1.0,,,,,,,,,,,,,
11396436,away,Darmstadt 98,Filip Stojilković,,,filip-stojilkovic,F. Stojilković,F,81,186,412,M,959003,EUR,946944000,F,10,10,True,5.0,4.0,,,2.0,2.0,2.0,5.0,2.0,,,,,45.0,14.0,6.8,5.0,0.1084,0.0,0.00804926,2,,2.0,,,,2.0,,,1.0,,,1.0,,1.0,1.0,2.0,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,,,
11396436,away,Darmstadt 98,Tobias Kempe,,,tobias-kempe,T. Kempe,M,,184,86,M,37630,EUR,614908800,M,11,11,True,8.0,6.0,,,4.0,4.0,2.0,6.0,,,,,,12.0,15.0,6.4,8.0,0.0,0.0,0.0885247,0,,2.0,,,4.0,,,3.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
11396436,away,Darmstadt 98,Fabian Schnellhardt,,,fabian-schnellhardt,F. Schnellhardt,M,,180,19,M,138159,EUR,758332800,M,8,8,True,11.0,10.0,2.0,2.0,5.0,6.0,5.0,5.0,2.0,,,,,12.0,14.0,6.4,2.0,0.0,0.0,0.00505586,0,,,,1.0,2.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,
11396436,away,Darmstadt 98,Aaron Seydel,Aaron,Seydel,aaron-seydel,A. Seydel,F,,199,68,M,558680,EUR,823651200,F,22,22,True,5.0,4.0,1.0,1.0,,1.0,4.0,4.0,,,,,,13.0,6.0,6.3,1.0,0.0467,0.0,0.0174468,1,,,,1.0,1.0,2.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,,,,,
11396436,away,Darmstadt 98,Frank Ronstadt,,,frank-ronstadt,F. Ronstadt,M,34,179,40,M,837064,EUR,869443200,D,17,17,True,3.0,2.0,,,2.0,2.0,1.0,2.0,,,,,,10.0,7.0,6.4,2.0,0.0,0.0,0.0313786,0,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,
11396436,away,Darmstadt 98,Alexander Brunst,,,alexander-brunst,A. Brunst-Zoellner,G,30,195,31,M,174285,EUR,805075200,G,30,30,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396436,away,Darmstadt 98,Jannik Müller,,,jannik-muller,J. Müller,D,24,187,18,M,169249,EUR,758851200,D,20,20,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396436,away,Darmstadt 98,Bartol Franjić,,,bartol-franjic,B. Franjić,D,4,188,631,M,880742,EUR,947808000,M,28,28,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396436,away,Darmstadt 98,Andreas Müller,Andreas Müller,,andreas-muller,A. Müller,M,16,173,45,M,1049628,EUR,964051200,M,16,16,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
