match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalCross,stat_challengeLost,stat_unsuccessfulTouch,stat_keyPass,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,stat_bigChanceCreated,stat_hitWoodwork,stat_goodHighClaim
14035830,home,FCV Dender,Roman Kvet,,,roman-kvet,R. Kvet,M,16,187.0,92,M,858926,EUR,882316800,F,16,16,False,25.0,13.0,1.0,,0.0,4.0,6.0,9.0,19.0,,3.0,2.0,,,76.0,42.0,6.3,23.0,0.101333,,1,,0.18,0.08,-0.06,,1.0,5.0,1.0,3.0,3.0,,,,,,,2.0,,0.0354,-0.01,,1.0,,,4.0,1.0,7.0,,1.0,,,,1.0,
14035830,home,FCV Dender,Krzysztof Koton,Krzysztof Koton,,krzysztof-koton,K. Kotoń,M,15,172.0,83,M,1512869,EUR,1053129600,M,15,15,True,10.0,7.0,,,0.0,5.0,6.0,2.0,4.0,,2.0,3.0,,,26.0,15.0,6.8,4.0,0.00160574,,0,,-0.1,0.26,0.18,,,2.0,,1.0,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,
14035830,home,FCV Dender,Benjamin Fredrick,Benjamin Fredrick,,fredrick-benjamin,B. Fredrick,D,22,187.0,956,M,1470532,EUR,1117238400,D,22,22,True,5.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,,,1.0,,,14.0,12.0,7.1,2.0,0.272013,,0,,0.41,0.06,0.14,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,1.0,,
14035830,home,FCV Dender,Bruny Nsimba,,,nsimba-bruny,B. Nsimba,F,77,181.0,280,M,1047536,EUR,954892800,F,77,77,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,1.0,4.0,,,,14.0,7.0,6.7,1.0,3.255e-05,,1,,-0.05,0.13,0.13,,1.0,1.0,,1.0,1.0,,,,,,2.0,,,0.0554,-0.3,,1.0,,,,,,,,,1.0,,,
14035830,home,FCV Dender,Guillaume Dietsch,,,guillaume-dietsch,G. Dietsch,G,30,184.0,77,M,986770,EUR,987465600,G,30,30,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035830,home,FCV Dender,Bryan Goncalves,,,bryan-goncalves,B. Goncalves,D,7,190.0,42,M,775019,EUR,837734400,D,7,7,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035830,home,FCV Dender,Nail Moutha-Sebtaoui,Nail Moutha-Sebtaoui,,nail-moutha-sebtaoui,N. Moutha-Sebtaoui,M,67,177.0,379,M,1502944,EUR,1132185600,D,67,67,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035830,home,FCV Dender,Desmond Acquah,Desmond Acquah,,desmond-acquah,D. Acquah,M,23,173.0,47,M,1388443,EUR,1027382400,M,23,23,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035830,home,FCV Dender,Jordan Attah Kadiri,,,jordan-attah-kadiri,J. A. Kadiri,F,19,182.0,123,M,992166,EUR,952732800,F,19,19,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035830,home,FCV Dender,Ryan Adewusi,Ryan Adewusi,,ryan-adewusi,R. Adewusi,F,37,183.0,22,,2203341,EUR,1107475200,F,37,37,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035830,away,Cercle Brugge,Maxime Delanghe,,,maxime-delanghe,M. Delanghe,G,21,189.0,144,M,909953,EUR,990576000,G,21,21,False,31.0,14.0,22.0,5.0,0.0,10.0,12.0,4.0,19.0,1.0,1.0,7.0,3.0,3.0,90.0,41.0,8.6,18.0,0.0009107,0.6055,0,0.9018,0.06,0.01,0.33,0.48,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0
14035830,away,Cercle Brugge,Gary Magnee,,,magnee-gary,G. Magnee,M,15,173.0,149,M,990265,EUR,939686400,D,15,15,False,32.0,23.0,6.0,1.0,0.0,15.0,16.0,8.0,16.0,,1.0,11.0,,,89.0,67.0,6.6,29.0,0.124053,,1,,0.03,0.26,-0.11,,1.0,5.0,,2.0,1.0,1.0,,1.0,,,,,,0.0152,-0.28,,1.0,,,8.0,3.0,4.0,1.0,2.0,,,,,
