match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_wonTackle,stat_onTargetScoringAttempt,stat_dispossessed,stat_wonContest,stat_keyPass,captain,stat_accurateCross,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_bigChanceCreated,stat_penaltyConceded,player_sofascoreId,stat_bigChanceMissed
10407283,home,KAS Eupen,Lennart Moser,lennart-moser,L. Moser,G,99,196,55,M,886064,EUR,944438400,G,1,1,False,25.0,13.0,15.0,4.0,12.0,16.0,1.0,9.0,2.0,9.0,3.0,5.0,1.0,90.0,39.0,7.4,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407283,home,KAS Eupen,Ibrahim Diakité,ibrahim-diakite,I. Diakité,D,2,178,2182,M,1168646,EUR,1067558400,D,27,27,False,25.0,20.0,2.0,1.0,10.0,12.0,10.0,14.0,3.0,5.0,,,,89.0,44.0,6.8,10.0,0,Ibrahim Diakité,,1.0,1.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
10407283,home,KAS Eupen,Gary Magnee,magnee-gary,G. Magnee,M,15,173,149,M,990265,EUR,939686400,D,15,15,False,55.0,40.0,13.0,7.0,24.0,30.0,16.0,26.0,4.0,9.0,,,,90.0,69.0,6.7,17.0,1,,,1.0,,1.0,3.0,4.0,,,3.0,3.0,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,
10407283,home,KAS Eupen,Rune Paeshuyse,rune-paeshuyse,R. Paeshuyse,D,28,187,35,M,1020435,EUR,1017273600,D,28,28,False,40.0,34.0,8.0,4.0,24.0,28.0,10.0,12.0,2.0,5.0,,,,90.0,45.0,6.7,6.0,1,,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
10407283,home,KAS Eupen,Loic Bessile,loic-bessile,L. Bessile,D,29,183,84,M,826213,EUR,919382400,D,5,5,False,38.0,32.0,8.0,5.0,20.0,21.0,12.0,18.0,4.0,3.0,,,,90.0,51.0,6.9,8.0,0,,,1.0,1.0,1.0,3.0,4.0,,1.0,1.0,3.0,1.0,,2.0,,,3.0,,,,,,,,,,,,,,,,
10407283,home,KAS Eupen,Jason Davidson,jason-davidson,J. Davidson,D,2,180,74,M,105350,EUR,678153600,D,3,3,False,47.0,34.0,11.0,3.0,15.0,18.0,19.0,30.0,2.0,5.0,,,,90.0,62.0,6.1,15.0,0,,,1.0,3.0,3.0,5.0,3.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,
10407283,home,KAS Eupen,Isaac Christie-Davies,isaac-christie-davies,I. Christie-Davies,M,34,188,41,M,838613,EUR,877132800,M,23,23,False,22.0,18.0,,,9.0,10.0,9.0,14.0,,4.0,,,,63.0,30.0,6.4,8.0,1,,,2.0,3.0,,7.0,1.0,1.0,,1.0,,,,2.0,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,
10407283,home,KAS Eupen,Brandon Baiye,baiye-brandon,B. Baiye,M,6,177,82,M,861975,EUR,977875200,M,6,6,False,19.0,19.0,2.0,2.0,9.0,9.0,10.0,10.0,1.0,5.0,,,,45.0,25.0,6.8,2.0,0,,,,3.0,,4.0,2.0,,,1.0,1.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
10407283,home,KAS Eupen,Stef Peeters,stef-peeters,S. Peeters,M,8,188,82,M,201988,EUR,697593600,M,8,8,False,64.0,47.0,14.0,8.0,20.0,23.0,29.0,48.0,2.0,7.0,,,,90.0,87.0,6.9,30.0,1,,,7.0,1.0,1.0,10.0,1.0,,,2.0,,3.0,,3.0,3.0,,,1.0,3.0,,2.0,True,2.0,1.0,,,,,,,,,
10407283,home,KAS Eupen,Regan Charles-Cook,regan-charles-cook,R. Charles-Cook,F,77,175,63,M,803116,EUR,857174400,M,10,10,False,31.0,27.0,2.0,1.0,12.0,13.0,15.0,19.0,,5.0,,,,76.0,43.0,6.5,9.0,1,,,1.0,,1.0,5.0,6.0,5.0,,,,1.0,2.0,2.0,,1.0,,,1.0,3.0,,,,,1.0,,,,,,,,
