match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_aerialLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_aerialWon,captain,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_errorLeadToAShot,stat_totalOffside,stat_keyPass,stat_shotOffTarget,stat_hitWoodwork,stat_blockedScoringAttempt,stat_goodHighClaim,stat_outfielderBlock,stat_errorLeadToAGoal
14053745,home,PSV Eindhoven,Matěj Kovář,,,matej-kovar,M. Kovář,G,32,196.0,2046,M,927366,EUR,958521600,G,32,32,False,28.0,24.0,5.0,1.0,0.0,24.0,26.0,2.0,5.0,2.0,2.0,1.0,1.0,90.0,34.0,6.6,4.0,7.792e-05,21.913713621159,4.0,-0.105,2.73,0.1438,0,-0.0661,0.04,-0.01,-0.1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053745,home,PSV Eindhoven,Sergiño Dest,,,sergino-dest,S. Dest,D,8,173.0,6120,M,906021,EUR,973209600,D,8,8,False,43.0,39.0,,,0.0,15.0,15.0,28.0,6.0,,,,,90.0,68.0,7.1,9.0,0.0309326,216.53139622948,21.0,150.465,21.42,,0,,0.23,0.27,-0.18,,sergino,24.0,3.0,9.0,1.0,6.0,4.0,1.0,2.0,2.0,3.0,3.0,73.123396070965,4.0,,,,,,,,,,,,,,,,,,,,,,,
14053745,home,PSV Eindhoven,Ryan Flamingo,Ryan Flamingo,,ryan-flamingo,R. Flamingo,D,6,186.0,1614,M,1046960,EUR,1041292800,D,6,6,False,83.0,77.0,2.0,,0.0,39.0,41.0,42.0,3.0,,,,,90.0,96.0,7.7,9.0,0.0245005,266.21385018125,38.0,133.56,26.88,,1,,0.32,0.2,-0.08,,,38.0,6.0,2.0,,1.0,,5.0,2.0,2.0,1.0,,30.279663142116,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.1345,0.5782,0.51,,,,,,,,,,,,,,
14053745,home,PSV Eindhoven,Yarek Gasiorowski,Yarek Gasiorowski,,gasiorowski-yarek,Y. Gasiorowski,D,3,190.0,1663,M,1184317,EUR,1105488000,D,3,3,False,74.0,66.0,4.0,1.0,0.0,34.0,40.0,34.0,3.0,,,,,90.0,83.0,7.7,9.0,0.0104786,165.32423814775,24.0,42.945,18.27,,1,,0.18,0.08,-0.17,,,32.0,3.0,5.0,,,,2.0,2.0,2.0,,,,,1.0,,1.0,1.0,1.0,2.0,0.4883,0.9063,0.49,3.0,,,,,,,,,,,,,
14053745,home,PSV Eindhoven,Mauro Júnior,,,mauro-junior,M. Júnior,D,17,171.0,1141,M,893499,EUR,925948800,D,17,17,False,44.0,38.0,1.0,,1.0,29.0,33.0,11.0,5.0,,,,,76.0,64.0,7.0,7.0,0.491884,114.27064701746,12.0,61.635,23.73,,1,,0.43,0.25,-0.31,,,9.0,4.0,3.0,2.0,,,1.0,3.0,1.0,1.0,,23.811797160231,1.0,1.0,,1.0,,3.0,1.0,0.0527,0.0431,-0.23,,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
14053745,home,PSV Eindhoven,Paul Wanner,,,paul-wanner,P. Wanner,M,10,186.0,3841,M,1146018,EUR,1135296000,M,10,10,False,41.0,38.0,1.0,1.0,0.0,14.0,15.0,26.0,4.0,,,,,75.0,56.0,7.3,10.0,0.0313081,148.22546125268,18.0,80.22,27.405,,1,,0.04,0.19,-0.11,,,24.0,5.0,3.0,1.0,1.0,,1.0,2.0,1.0,4.0,1.0,29.033838344249,1.0,1.0,2.0,1.0,1.0,1.0,,0.3094,0.5302,0.51,,,,,,,,,,,,,,
14053745,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185.0,3780,M,850816,EUR,911433600,M,23,23,False,58.0,47.0,11.0,6.0,1.0,19.0,23.0,35.0,8.0,,,,,90.0,74.0,7.9,17.0,0.317059,128.73928870024,18.0,33.6,12.18,,0,,0.61,0.2,-0.11,,,28.0,2.0,5.0,2.0,,,1.0,3.0,3.0,1.0,,,,,,,,,,,,,2.0,,6.0,2.0,1.0,,,5.0,,,,,,
14053745,home,PSV Eindhoven,Dennis Man,,,dennis-man,D. Man,M,27,182.0,10450,M,812145,EUR,904089600,M,27,27,False,35.0,27.0,,,1.0,10.0,11.0,24.0,2.0,,,,,90.0,56.0,8.7,15.0,0.163526,180.60612125963,16.0,110.04,26.46,,2,,0.27,0.41,-0.06,,dennisman,17.0,6.0,10.0,,10.0,7.0,,1.0,1.0,2.0,,126.3278588391,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2546,0.4921,0.53,2.0,,,,1.0,,,1.0,1.0,1.0,,,,
14053745,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183.0,2263,M,845798,EUR,882748800,M,20,20,False,25.0,20.0,,,1.0,6.0,8.0,17.0,2.0,,,,,83.0,34.0,7.6,12.0,0.965825,120.9990144325,14.0,90.3,26.985,,0,,0.78,0.36,-0.07,,,14.0,1.0,2.0,,,,,1.0,1.0,4.0,,51.760274940433,2.0,,,,,,1.0,,,,1.0,,2.0,,1.0,,1.0,3.0,,,,,,
14053745,home,PSV Eindhoven,Ivan Perišić,,,ivan-perisic,I. Perišić,M,5,187.0,17305,M,38710,EUR,602380800,M,5,5,False,24.0,17.0,2.0,1.0,0.0,7.0,9.0,15.0,6.0,,,,,75.0,35.0,7.0,8.0,0.296573,92.520805979411,5.0,76.545,30.555,,2,,0.43,0.42,-0.04,,ivanperisic444,10.0,4.0,4.0,,,,1.0,1.0,,1.0,,84.154719954783,3.0,1.0,,,,1.0,3.0,0.0879,,-0.53,3.0,,,,,,,1.0,1.0,,1.0,,,
