match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_fouls,stat_wonTackle,stat_totalContest,stat_blockedScoringAttempt,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,player_sofascoreId,stat_wonContest,stat_bigChanceMissed,stat_totalOffside,stat_penaltyWon,stat_penaltyFaced,stat_hitWoodwork,stat_penaltyConceded
12499311,home,Parma,Zion Suzuki,,,zion-suzuki,Z. Suzuki,G,31,189,4904,M,905351,EUR,1029888000,G,31,31,False,38.0,26.0,14.0,2.0,0.0,26.0,29.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,45.0,5.8,13.0,0.00010573,0,-0.0423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499311,home,Parma,Enrico Del Prato,,,enrico-del-prato,E. Del Prato,D,15,183,860,M,928103,EUR,942192000,D,15,15,False,71.0,65.0,5.0,1.0,0.0,41.0,41.0,31.0,7.0,,1.0,,,,,,90.0,90.0,6.7,8.0,0.0107187,1,,True,24.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0388,1.0,,,,,,,,,,,,,,,,,,,,
12499311,home,Parma,Yordan Osorio,,,yordan-osorio,Y. Osorio,D,,189,848,M,789958,EUR,768528000,D,3,3,False,87.0,78.0,8.0,3.0,0.0,67.0,68.0,19.0,3.0,,,,,,,,90.0,95.0,6.3,9.0,0.00457061,1,,,11.0,,,1.0,2.0,1.0,1.0,4.0,1.0,,,0.0126,,2.0,,,,,,,,,,,,,,,,,,,
12499311,home,Parma,Botond Balogh,,,botond-balogh,B. Balogh,D,5,189,1291,M,983510,EUR,1023321600,D,4,4,False,50.0,47.0,4.0,2.0,0.0,33.0,34.0,16.0,5.0,1.0,1.0,,,,,,61.0,61.0,6.7,4.0,0.00438287,0,,,14.0,,,1.0,,3.0,,5.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
12499311,home,Parma,Emanuele Valeri,,,emanuele-valeri,E. Valeri,D,14,180,818,M,891346,EUR,912988800,D,14,14,False,16.0,12.0,,,0.0,6.0,7.0,10.0,,,,,,,,,45.0,28.0,6.3,8.0,0.0284752,2,,,6.0,1.0,,,1.0,,1.0,2.0,,,,0.0701,,,,1.0,1.0,,,,,,,,,,,,,,,,
12499311,home,Parma,Adrián Bernabé,,,adrian-bernabe,A. Bernabé,M,10,170,2308,M,934384,EUR,990835200,M,10,10,False,86.0,76.0,7.0,6.0,0.0,30.0,32.0,57.0,8.0,,3.0,,,,,,90.0,103.0,7.3,17.0,0.100905,2,,,47.0,3.0,,,6.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0988,4.0,1.0,2.0,,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,
12499311,home,Parma,Hernani,,,hernani,Hernani,M,8,188,409,M,156019,EUR,764726400,M,27,27,False,51.0,38.0,5.0,3.0,0.0,18.0,23.0,28.0,7.0,,1.0,,,,,,90.0,63.0,7.4,15.0,0.085944,2,,,20.0,,,3.0,5.0,8.0,,,1.0,3.0,2.0,0.8055,3.0,,1.0,,1.0,,4.0,1.0,,1.0,1.0,1.0,0.9255,,,,,,,,
12499311,home,Parma,Dennis Man,,,dennis-man,D. Man,M,27,182,10418,M,812145,EUR,904089600,M,98,98,False,35.0,30.0,,,0.0,9.0,11.0,27.0,1.0,,2.0,,,,,,90.0,49.0,7.2,11.0,0.117389,4,,,22.0,3.0,1.0,,3.0,3.0,3.0,,,,2.0,0.6193,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.758,dennisman,1.0,2.0,,,,,
12499311,home,Parma,Antoine Hainaut,Antoine Hainaut,,antoine-hainaut,A. Hainaut,M,18,188,140,M,1394202,EUR,1013990400,M,20,20,False,30.0,24.0,1.0,1.0,0.0,4.0,5.0,28.0,1.0,,1.0,,,,,,78.0,40.0,6.9,8.0,0.120863,0,,,22.0,3.0,1.0,4.0,3.0,7.0,,1.0,,1.0,2.0,,1.0,2.0,,,,2.0,,,,,,,,,,,1.0,,,,
12499311,home,Parma,Valentin Mihăilă,,,valentin-mihaila,V. Mihăilă,M,7,177,3261,M,925242,EUR,949449600,M,28,28,False,18.0,15.0,1.0,,0.0,1.0,2.0,16.0,1.0,,,,,,,,45.0,22.0,6.5,3.0,0.027447,1,,,14.0,,,1.0,2.0,2.0,,,,,1.0,0.1555,,2.0,,,,,,,,1.0,,,0.6072,,,1.0,,,,,
12499311,home,Parma,Ange-Yoan Bonny,,,ange-yoan-bonny,A. Bonny,F,14,189,10665,M,1086223,EUR,1067040000,F,13,13,False,15.0,12.0,,,0.0,1.0,2.0,15.0,,,2.0,,,,,,70.0,29.0,7.1,9.0,0.176321,2,,,12.0,2.0,1.0,,4.0,3.0,1.0,,,,2.0,0.2077,1.0,,,2.0,1.0,1.0,,2.0,1.0,,,,,,1.0,,,,,,
