match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_penaltyWon,stat_totalOffside,stat_shotOffTarget,stat_expectedGoals,captain,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_totalContest,stat_interceptionWon,stat_wonContest,player_sofascoreId,player_firstName,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_penaltyMiss,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_hitWoodwork,stat_penaltyConceded,stat_goals,stat_bigChanceCreated
12499633,home,SC Freiburg,Noah Atubolu,noah-atubolu,N. Atubolu,G,1,190,1842,M,980626,EUR,1022284800,G,1,1,False,21.0,20.0,5.0,4.0,0.0,19.0,19.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,90.0,27.0,5.7,1.0,0.00066594,0,-1.5187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499633,home,SC Freiburg,Lukas Kübler,lukas-kubler,L. Kübler,D,17,183,237,M,142525,EUR,715132800,D,17,17,False,38.0,31.0,3.0,1.0,0.0,20.0,20.0,11.0,19.0,2.0,,,,,65.0,57.0,6.5,11.0,0.0340025,0,,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499633,home,SC Freiburg,Matthias Ginter,matthias-ginter,M. Ginter,D,28,189,887,M,142259,EUR,758937600,D,28,28,False,107.0,95.0,14.0,9.0,0.0,42.0,45.0,53.0,63.0,2.0,,,,,90.0,115.0,7.3,13.0,0.069938,0,,1.0,1.0,3.0,11.0,,1.0,,2.0,1.0,,3.0,2.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12499633,home,SC Freiburg,Philipp Lienhart,philipp-lienhart,P. Lienhart,D,3,189,690,M,576266,EUR,837043200,D,3,3,False,127.0,116.0,14.0,8.0,0.0,50.0,53.0,66.0,74.0,5.0,,,,,90.0,134.0,6.8,13.0,0.0642565,1,,,4.0,5.0,7.0,1.0,2.0,,,,1.0,,,7.0,,1.0,1.0,0.0469,,,,,,,,,,,,,,,,,,,,,,,,
12499633,home,SC Freiburg,Christian Günter,christian-gunter,C. Günter,D,30,184,352,M,142231,EUR,730857600,D,30,30,False,55.0,51.0,,,0.0,15.0,17.0,40.0,48.0,6.0,,,,,90.0,77.0,6.6,13.0,0.343317,0,,10.0,,3.0,1.0,2.0,1.0,1.0,,,1.0,,,1.0,,,,,True,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
12499633,home,SC Freiburg,Maximilian Eggestein,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,37.0,33.0,,,0.0,13.0,15.0,20.0,22.0,2.0,,,,,80.0,42.0,6.5,5.0,0.0294415,0,,,1.0,3.0,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
12499633,home,SC Freiburg,Patrick Osterhage,osterhage-patrick,P. Osterhage,M,6,183,261,M,914755,EUR,949363200,M,6,6,False,42.0,37.0,2.0,1.0,0.0,13.0,15.0,24.0,27.0,3.0,,,,,66.0,56.0,7.0,7.0,0.0191293,2,,,2.0,5.0,6.0,1.0,,,1.0,,1.0,1.0,1.0,3.0,,,2.0,0.1152,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
12499633,home,SC Freiburg,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5674,M,790965,EUR,897955200,M,42,42,False,35.0,24.0,5.0,2.0,0.0,7.0,10.0,18.0,29.0,2.0,,,,,90.0,60.0,6.3,21.0,0.0989121,0,,4.0,1.0,7.0,7.0,1.0,,,3.0,2.0,2.0,2.0,,1.0,,1.0,,,,1.0,2.0,,4.0,,1.0,doanritsu,,,,,,,,,,,,,,,,
12499633,home,SC Freiburg,Eren Dinkçi,eren-dinkci,E. Dinkçi,M,8,188,848,M,1067120,EUR,1008201600,M,18,18,False,13.0,8.0,,,0.0,2.0,3.0,6.0,10.0,2.0,,,,,45.0,21.0,6.1,9.0,0.00432016,0,,,1.0,5.0,2.0,,,,1.0,,,,,,,,,,,,1.0,,4.0,,1.0,,,,,,,,,,,,,,,,,
12499633,home,SC Freiburg,Vincenzo Grifo,vincenzo-grifo,V. Grifo,M,32,181,2068,M,171961,EUR,734140800,M,32,32,False,69.0,62.0,4.0,2.0,0.0,18.0,20.0,45.0,57.0,1.0,,,,,90.0,88.0,7.0,19.0,0.147789,4,,8.0,,,2.0,,1.0,,,,2.0,,,1.0,,,1.0,0.8989,,1.0,,3.0,1.0,,1.0,,,,1.0,2.0,1.0,1.1872,1.0,,,,,,,,,
