match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalCross,stat_challengeLost,stat_dispossessed,stat_unsuccessfulTouch,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_hitWoodwork
11450204,home,MKE Ankaragücü,Bahadır Han Güngördü,bahadir-han-gungordu,B. H. Güngördü,G,13,190,97,M,807289,EUR,821750400,G,99,99,False,32.0,7.0,27.0,2.0,0.0,5.0,5.0,2.0,27.0,1.0,1.0,11.0,1.0,2.0,2.0,2.0,90.0,39.0,6.4,25.0,0.00075403,0,0.3383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450204,home,MKE Ankaragücü,Atakan Çankaya,atakan-cankaya,A. Çankaya,D,35,180,44,M,1066338,EUR,898732800,D,4,4,False,26.0,20.0,5.0,3.0,0.0,12.0,14.0,8.0,12.0,3.0,9.0,2.0,3.0,,,,90.0,43.0,7.1,6.0,0.00203219,0,,Atakan Cankaya,,1.0,3.0,7.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
11450204,home,MKE Ankaragücü,Uroš Radaković,uros-radakovic,U. Radaković,D,26,194,313,M,151900,EUR,765072000,D,26,26,False,22.0,20.0,3.0,2.0,0.0,16.0,16.0,4.0,6.0,4.0,4.0,2.0,1.0,,,,90.0,33.0,7.1,2.0,0.0027766,1,,,,,,7.0,,,,,1.0,1.0,0.0356,,,,,,,,,,,,,,,,,,,
11450204,home,MKE Ankaragücü,Nihad Mujakić,nihad-mujakic,N. Mujakić,D,5,189,775,M,858004,EUR,892598400,D,18,18,False,22.0,18.0,3.0,1.0,0.0,16.0,17.0,2.0,5.0,4.0,7.0,1.0,,,,,90.0,30.0,7.0,4.0,0.0018762,0,,,,2.0,3.0,2.0,,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
11450204,home,MKE Ankaragücü,Alper Uludağ,alper-uludag,A. Uludağ,D,,180,20,M,100102,EUR,660873600,D,3,3,False,33.0,23.0,8.0,3.0,0.0,15.0,20.0,8.0,13.0,2.0,6.0,5.0,1.0,,,,90.0,51.0,6.9,13.0,0.00482378,1,,,,,1.0,2.0,1.0,2.0,1.0,1.0,,,0.0542,1.0,1.0,1.0,0.127,,,,,,,,,,,,,,,
11450204,home,MKE Ankaragücü,Ali Kaan Güneren,ali-kaan-guneren,A. K. Güneren,M,23,183,28,M,867848,EUR,955152000,M,23,23,False,32.0,27.0,5.0,3.0,1.0,17.0,17.0,10.0,16.0,1.0,6.0,6.0,,,,,90.0,48.0,7.3,9.0,0.00732574,0,,,,1.0,6.0,1.0,4.0,4.0,1.0,,,2.0,,2.0,1.0,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,
11450204,home,MKE Ankaragücü,Pedrinho,pedrinho,Pedrinho,M,14,170,130,M,182385,EUR,724809600,M,8,8,False,29.0,21.0,3.0,1.0,0.0,11.0,17.0,12.0,19.0,2.0,7.0,1.0,2.0,,,,89.0,50.0,7.3,14.0,0.122463,3,,,,1.0,5.0,2.0,,3.0,1.0,2.0,,,0.0305,,,2.0,0.2119,7.0,2.0,,1.0,3.0,2.0,1.0,,,,,,,,
11450204,home,MKE Ankaragücü,Olimpiu Moruțan,olimpiu-morutan,O. Moruțan,F,80,172,1462,M,833613,EUR,924998400,M,80,80,False,13.0,10.0,2.0,1.0,0.0,3.0,4.0,7.0,11.0,,5.0,5.0,4.0,,,,81.0,26.0,7.7,5.0,0.00798982,3,,,,,1.0,,,1.0,1.0,,1.0,,0.1343,,,1.0,0.3203,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,
11450204,home,MKE Ankaragücü,Efkan Bekiroğlu,efkan-bekiroglu,E. Bekiroğlu,M,11,185,168,M,800458,EUR,811036800,M,10,10,False,22.0,15.0,2.0,2.0,0.0,8.0,9.0,7.0,13.0,,2.0,5.0,,,,,76.0,29.0,6.9,9.0,0.0061054,3,,,,2.0,4.0,,,2.0,,,1.0,,0.1174,1.0,,1.0,0.3774,,,1.0,,1.0,,1.0,,1.0,,,,,,
11450204,home,MKE Ankaragücü,Renaldo Cephas,renaldo-cephas,R. Cephas,F,21,179,811,M,1384968,EUR,944611200,M,29,29,False,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,,1.0,3.0,,,,,45.0,10.0,6.3,5.0,0.00115717,0,,Renaldo Cephas,,,3.0,,,1.0,1.0,2.0,,,,2.0,,,,,,,3.0,1.0,,,,,,,,,,
