match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_errorLeadToAShot,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_challengeLost,stat_bigChanceMissed,stat_totalContest,stat_wonContest,stat_hitWoodwork,stat_goals,stat_keyPass,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_blockedScoringAttempt
12437517,home,Valencia,Giorgi Mamardashvili,giorgi-mamardashvili,G. Mamardashvili,G,25,200,17187,M,mamardashvili,930997,EUR,970185600,G,25,25,False,40.0,24.0,21.0,5.0,0.0,21.0,27.0,3.0,13.0,2.0,2.0,3.0,8.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,90.0,55.0,8.1,16.0,0.00101587,0,0.8587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437517,home,Valencia,Dimitri Foulquier,dimitri-foulquier,D. Foulquier,D,20,183,461,M,,151138,EUR,732844800,D,20,20,False,48.0,42.0,2.0,,0.0,24.0,26.0,19.0,25.0,,6.0,1.0,2.0,1.0,,,,,,,90.0,71.0,7.2,9.0,0.0756448,0,,,,3.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12437517,home,Valencia,César Tárrega,cesar-tarrega,C. Tárrega,D,5,193,816,M,,996928,EUR,1014681600,D,15,15,False,68.0,60.0,7.0,,0.0,43.0,47.0,17.0,21.0,2.0,2.0,5.0,4.0,,,,,,,,90.0,80.0,7.1,9.0,0.00519752,1,,,,,,1.0,2.0,2.0,,,,,1.0,1.0,2.0,1.0,0.0797,0.3509,,,,,,,,,,,,
12437517,home,Valencia,Cristhian Mosquera,cristhian-mosquera,C. Mosquera,D,3,191,15807,M,,1144630,EUR,1088294400,D,3,3,False,64.0,57.0,4.0,,0.0,41.0,45.0,16.0,19.0,1.0,2.0,3.0,6.0,1.0,,,,,,,90.0,70.0,6.8,8.0,0.00413396,0,,Cristhian Mosquera,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
12437517,home,Valencia,José Luis Gayà,jose-luis-gaya,J. L. Gayà,D,14,172,1685,M,,227922,EUR,801360000,D,14,14,False,30.0,26.0,2.0,1.0,0.0,12.0,13.0,15.0,19.0,,4.0,3.0,3.0,1.0,,,,,,,90.0,54.0,7.2,10.0,0.017678,1,,,,2.0,1.0,,2.0,3.0,3.0,1.0,,1.0,,1.0,,,0.1808,0.1974,True,1.0,1.0,,,,,,,,,
12437517,home,Valencia,Javier Guerra,javier-guerra,J. Guerra,M,8,187,1800,M,,1122610,EUR,1052784000,M,8,8,False,31.0,23.0,2.0,,0.0,9.0,11.0,14.0,23.0,,4.0,,7.0,2.0,,,,,,,87.0,49.0,7.6,16.0,0.0127255,2,,,,3.0,,1.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,,,0.1677,0.9367,,,,2.0,1.0,1.0,1.0,,,,,
12437517,home,Valencia,Enzo Barrenechea,enzo-barrenechea,E. Barrenechea,M,5,186,6499,M,,1087316,EUR,990489600,M,5,5,False,53.0,45.0,4.0,3.0,0.0,18.0,19.0,27.0,34.0,1.0,8.0,2.0,2.0,5.0,,,,,,,90.0,70.0,7.0,11.0,0.0452253,0,,,,,,1.0,7.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,2.0,,2.0,,,,1.0,,,,
12437517,home,Valencia,Luis Rioja,luis-rioja,L. Rioja,M,11,173,860,M,,900433,EUR,750729600,M,22,22,False,31.0,23.0,3.0,2.0,0.0,6.0,9.0,18.0,25.0,,3.0,2.0,7.0,2.0,,,,,,,87.0,49.0,7.3,15.0,0.253311,0,,,,3.0,1.0,,5.0,,1.0,1.0,,2.0,2.0,,,,,,,,,2.0,,,,1.0,1.0,,,
12437517,home,Valencia,André Almeida,andre-almeida,A. Almeida,M,10,176,1200,M,,845693,EUR,959644800,M,10,10,False,30.0,28.0,1.0,1.0,0.0,11.0,12.0,18.0,20.0,,3.0,,3.0,1.0,,,,,,,74.0,41.0,6.8,5.0,0.138793,0,,,,2.0,1.0,,4.0,,1.0,1.0,1.0,2.0,,,,,,,,1.0,,2.0,1.0,,,,,,,
12437517,home,Valencia,Diego López,diego-lopez,D. López,M,16,172,1350,M,,998950,EUR,1021248000,M,16,16,False,23.0,15.0,,,1.0,4.0,7.0,11.0,16.0,,3.0,1.0,1.0,1.0,,,,,,,74.0,38.0,6.8,15.0,0.15683,2,,,,,,,5.0,,1.0,1.0,3.0,,3.0,1.0,,,0.7162,0.6699,,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,1.0,
12437517,home,Valencia,Umar Sadiq,umar-sadiq,U. Sadiq,F,6,192,2879,M,,754710,EUR,854841600,F,12,12,False,11.0,7.0,,,0.0,2.0,2.0,5.0,9.0,1.0,3.0,1.0,1.0,1.0,,,,,,,60.0,20.0,6.7,9.0,0.0425069,0,,,,,,3.0,7.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,1.0,,,,1.0,,,,
12437517,home,Valencia,Hugo Duro,hugo-duro,H. Duro,F,9,180,2868,M,,909119,EUR,942192000,F,9,9,True,6.0,4.0,,,0.0,,1.0,4.0,5.0,,,,1.0,,,,,,,,30.0,12.0,6.1,6.0,0.00396805,1,,,,,,4.0,7.0,,,,1.0,,3.0,1.0,,,0.2437,0.2818,,,1.0,,,,,,,,1.0,
