match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_errorLeadToAShot,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_wasFouled,stat_keyPass,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,player_firstName,player_lastName,stat_goodHighClaim,stat_lastManTackle
12499573,home,SC Freiburg,Noah Atubolu,noah-atubolu,N. Atubolu,G,1,190,1842,M,980626,EUR,1022284800,G,1,1,False,47.0,35.0,19.0,7.0,0.0,30.0,34.0,5.0,13.0,2.0,9.0,2.0,3.0,1.0,1.0,1.0,90.0,52.0,6.6,12.0,0.00290135,0,0.2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499573,home,SC Freiburg,Lukas Kübler,lukas-kubler,L. Kübler,D,17,183,237,M,142525,EUR,715132800,D,17,17,False,36.0,30.0,7.0,5.0,0.0,18.0,20.0,12.0,18.0,4.0,3.0,,,,,,63.0,52.0,8.7,10.0,0.0162433,2,,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.8389,1.7059,,,,,,,,,,,,,,,,,,,,,,,
12499573,home,SC Freiburg,Matthias Ginter,matthias-ginter,M. Ginter,D,28,189,887,M,142259,EUR,758937600,D,28,28,False,49.0,42.0,5.0,2.0,0.0,33.0,34.0,9.0,16.0,6.0,2.0,,,,,,90.0,59.0,6.4,8.0,0.00155588,1,,1.0,2.0,2.0,2.0,,1.0,,,,,0.0223,0.2731,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
12499573,home,SC Freiburg,Philipp Lienhart,philipp-lienhart,P. Lienhart,D,3,189,690,M,576266,EUR,837043200,D,3,3,False,86.0,75.0,9.0,4.0,0.0,54.0,56.0,21.0,30.0,6.0,4.0,,,,,,90.0,105.0,6.8,12.0,0.0114459,1,,,1.0,2.0,3.0,1.0,,,2.0,,,0.0433,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12499573,home,SC Freiburg,Christian Günter,christian-gunter,C. Günter,D,30,184,352,M,142231,EUR,730857600,D,30,30,False,31.0,22.0,4.0,2.0,0.0,11.0,13.0,11.0,19.0,1.0,1.0,,,,,,70.0,46.0,6.8,10.0,0.011876,0,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,
12499573,home,SC Freiburg,Maximilian Eggestein,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,47.0,36.0,3.0,,0.0,19.0,24.0,18.0,24.0,2.0,6.0,,,,,,90.0,65.0,7.0,15.0,0.125153,0,,1.0,2.0,5.0,8.0,2.0,,,,3.0,2.0,,,1.0,,2.0,,,3.0,3.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
12499573,home,SC Freiburg,Patrick Osterhage,osterhage-patrick,P. Osterhage,M,6,183,261,M,914755,EUR,949363200,M,6,6,False,40.0,35.0,1.0,1.0,0.0,20.0,21.0,15.0,19.0,1.0,4.0,,,,,,90.0,55.0,6.9,8.0,0.293792,2,,,,5.0,1.0,,,,5.0,,1.0,0.0399,,2.0,,,1.0,1.0,1.0,1.0,,,,2.0,,,1.0,1.0,,,,,,,,
12499573,home,SC Freiburg,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5674,M,790965,EUR,897955200,M,42,42,False,31.0,26.0,1.0,,1.0,12.0,13.0,17.0,23.0,,7.0,,,,,,86.0,52.0,7.2,14.0,0.320804,3,,5.0,,6.0,4.0,4.0,2.0,,,1.0,,0.1408,0.4162,1.0,,2.0,,,2.0,2.0,,3.0,,3.0,,2.0,1.0,1.0,doanritsu,1.0,,,,,,
12499573,home,SC Freiburg,Vincenzo Grifo,vincenzo-grifo,V. Grifo,M,32,181,2068,M,171961,EUR,734140800,M,32,32,False,46.0,38.0,3.0,1.0,0.0,19.0,20.0,22.0,32.0,,5.0,,,,,,70.0,61.0,7.7,13.0,0.28072,3,,6.0,,1.0,1.0,1.0,1.0,,,2.0,,0.1812,0.359,1.0,,1.0,2.0,,,,,3.0,,,,3.0,,,,,,,,,,
12499573,home,SC Freiburg,Michael Gregoritsch,michael-gregoritsch,M. Gregoritsch,F,38,193,1525,M,111483,EUR,766627200,F,38,38,False,15.0,8.0,,,0.0,,1.0,8.0,14.0,1.0,3.0,,,,,,63.0,22.0,7.2,9.0,0.0783774,2,,,2.0,5.0,3.0,1.0,1.0,1.0,,1.0,2.0,0.1145,0.7445,2.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,
