match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_fouls,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,captain,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_bigChanceCreated,stat_interceptionWon,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals
12450210,home,RC Lens,Mathew Ryan,mathew-ryan,M. Ryan,G,13,184.0,1508,M,134029,EUR,702691200,G,30,30,False,14.0,11.0,4.0,1.0,0.0,10.0,12.0,1.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,90.0,22.0,6.4,3.0,0.00013953,0,-1.1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450210,home,RC Lens,Jonathan Gradit,jonathan-gradit,J. Gradit,D,24,180.0,273,M,369650,EUR,722563200,D,24,24,False,92.0,82.0,6.0,3.0,0.0,20.0,20.0,62.0,74.0,2.0,7.0,4.0,,5.0,,90.0,107.0,7.6,13.0,0.398533,3,,2.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,0.1697,3.0,,,,,,,,,,,,,,,,,,,,,,,
12450210,home,RC Lens,Abdulay Juma Bah,abdulay-juma-bah,A. J. Bah,D,28,195.0,5965,M,1606792,EUR,1144713600,D,27,27,False,31.0,29.0,1.0,1.0,0.0,17.0,19.0,12.0,12.0,3.0,3.0,1.0,,,,40.0,36.0,6.8,2.0,0.0527975,0,,,1.0,1.0,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12450210,home,RC Lens,Facundo Medina,facundo-medina,F. Medina,D,32,184.0,4462,M,860307,EUR,927849600,D,14,14,False,95.0,90.0,5.0,2.0,0.0,22.0,23.0,68.0,74.0,2.0,3.0,6.0,,,,90.0,108.0,7.4,11.0,0.206015,2,,2.0,1.0,2.0,,,2.0,1.0,,2.0,0.0548,3.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12450210,home,RC Lens,Kyllian Antonio,kyllian-antonio,K. Antonio,D,32,183.0,243,M,1546405,EUR,1199404800,M,32,32,False,12.0,9.0,2.0,,0.0,3.0,3.0,6.0,11.0,,2.0,1.0,,2.0,,45.0,28.0,6.7,7.0,0.0032236,1,,2.0,,,,1.0,,,1.0,2.0,0.0527,,,,,,,,,,,,,,,,,,,,,,,,
12450210,home,RC Lens,Andy Diouf,andy-diouf,A. Diouf,M,17,187.0,3993,M,1048889,EUR,1053129600,M,18,18,False,43.0,41.0,1.0,,0.0,10.0,10.0,32.0,34.0,,2.0,5.0,,,,77.0,52.0,6.9,5.0,0.126099,3,,1.0,2.0,6.0,,1.0,2.0,,,1.0,0.2569,2.0,,,,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12450210,home,RC Lens,Adrien Thomasson,adrien-thomasson,A. Thomasson,M,28,177.0,523,M,231946,EUR,755481600,M,28,28,False,66.0,60.0,3.0,2.0,0.0,17.0,18.0,43.0,50.0,,4.0,9.0,,3.0,,90.0,86.0,7.2,16.0,0.161839,4,,2.0,3.0,11.0,1.0,,2.0,,2.0,4.0,0.2359,2.0,,,,,,3.0,,4.0,2.0,1.0,0.2611,,,,,,,,,,,,
12450210,home,RC Lens,Deiver Machado,deiver-machado,D. Machado,M,27,179.0,1117,M,822110,EUR,746928000,M,3,3,False,14.0,11.0,1.0,,0.0,5.0,5.0,6.0,10.0,,2.0,3.0,,1.0,,21.0,19.0,6.8,4.0,0.0120178,0,,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
12450210,home,RC Lens,Florian Sotoca,florian-sotoca,F. Sotoca,F,7,187.0,757,M,788921,EUR,656812800,F,7,7,False,46.0,35.0,2.0,1.0,0.0,5.0,5.0,31.0,50.0,2.0,4.0,2.0,,,,77.0,65.0,7.7,20.0,0.239826,5,,9.0,2.0,3.0,,1.0,1.0,,,,0.7838,2.0,,,,2.0,1.0,,1.0,,3.0,1.0,1.5294,True,1.0,1.0,,,,,,,,,
12450210,home,RC Lens,Goduine Koyalipou,goduine-koyalipou,G. Koyalipou,F,9,183.0,1187,M,891505,EUR,950572800,F,19,19,False,6.0,5.0,,,0.0,1.0,1.0,4.0,5.0,,1.0,1.0,,,,62.0,16.0,6.3,3.0,0.0138959,6,,,1.0,1.0,,1.0,,,,2.0,1.4494,1.0,,,,1.0,1.0,,,,5.0,,1.122,,3.0,,,,,,,,,,
