match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_blockedScoringAttempt,stat_wasFouled,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_accurateCross,stat_unsuccessfulTouch,stat_totalOffside,stat_totalContest,stat_wonContest,stat_keyPass,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_goalAssist,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal
10407022,home,Standard Liège,Arnaud Bodart,bodart-arnaud,A. Bodart,G,16,184,413,M,878898,EUR,889574400,G,16,16,False,20.0,18.0,6.0,4.0,16.0,17.0,2.0,3.0,9.0,1.0,2.0,90.0,28.0,6.5,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407022,home,Standard Liège,Noë Dussenne,noe-dussenne,N. Dussenne,D,3,191,108,M,115569,EUR,702604800,D,6,6,False,68.0,49.0,14.0,4.0,27.0,30.0,22.0,39.0,9.0,,,67.0,83.0,7.0,22.0,0,,,True,1.0,1.0,3.0,4.0,6.0,1.0,3.0,5.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
10407022,home,Standard Liège,Merveille Bokadi,merveille-bokadi,M. Bokadi,D,21,186,291,M,867193,EUR,832636800,D,20,20,False,95.0,85.0,10.0,8.0,46.0,48.0,39.0,47.0,14.0,,,90.0,100.0,6.9,11.0,1,,,,,,3.0,,4.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10407022,home,Standard Liège,Konstantinos Laifis,konstantinos-laifis,K. Laifis,D,34,186,339,M,97061,EUR,737769600,D,34,34,False,93.0,73.0,10.0,5.0,38.0,43.0,35.0,50.0,1.0,,,90.0,107.0,7.2,20.0,2,,,,,3.0,9.0,5.0,14.0,,,2.0,4.0,4.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
10407022,home,Standard Liège,Filippo Melegoni,melegoni-filippo,F. Melegoni,M,8,186,102,M,795056,EUR,919296000,M,21,21,False,28.0,23.0,2.0,2.0,11.0,12.0,14.0,25.0,1.0,,,66.0,61.0,6.9,17.0,0,,,,9.0,,,2.0,2.0,1.0,,,2.0,1.0,,,,1.0,,,2.0,4.0,1.0,,,,,,,,,,,,
10407022,home,Standard Liège,William Balikwisha,william-balikwisha,W. Balikwisha,M,21,174,684,M,943881,EUR,926467200,M,22,22,False,53.0,44.0,2.0,1.0,14.0,15.0,33.0,45.0,6.0,,,90.0,79.0,7.7,15.0,1,,,,7.0,,,1.0,8.0,1.0,,3.0,2.0,2.0,,,2.0,,,1.0,3.0,1.0,,4.0,4.0,1.0,,,,,,,,,
10407022,home,Standard Liège,Steven Alzate,steven-alzate,S. Alzate,M,7,177,698,M,871822,EUR,905212800,M,14,14,False,80.0,65.0,9.0,6.0,33.0,35.0,32.0,45.0,7.0,,,81.0,93.0,7.3,19.0,0,,,,,,1.0,1.0,8.0,,,1.0,2.0,2.0,1.0,,3.0,,,,,3.0,,2.0,2.0,,,,,,,,,,
10407022,home,Standard Liège,Aron Dønnum,aron-donnum,A. Dønnum,M,15,179,644,M,863133,EUR,893030400,M,11,11,False,41.0,27.0,4.0,2.0,4.0,8.0,28.0,45.0,3.0,,,81.0,68.0,6.7,27.0,0,,,,12.0,1.0,,6.0,1.0,2.0,,,,,,,1.0,,,,5.0,,1.0,3.0,,3.0,1.0,,,,,,,,
10407022,home,Standard Liège,Osher Davida,davida-osher,O. Davida,M,77,175,194,M,1004222,EUR,982454400,F,17,17,False,16.0,15.0,,,1.0,1.0,14.0,17.0,2.0,,,66.0,27.0,6.5,6.0,0,Osher,Davida,,2.0,,,2.0,1.0,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
10407022,home,Standard Liège,Stipe Perica,stipe-perica,S. Perica,F,,192,362,M,284845,EUR,805075200,F,28,28,False,15.0,11.0,,,,1.0,11.0,14.0,5.0,,,90.0,25.0,7.2,7.0,1,,,,,3.0,1.0,5.0,3.0,1.0,,,1.0,,1.0,,1.0,,,,,2.0,3.0,,,,,1.0,1.0,,,,,,
