match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_goalAssist,stat_aerialWon,stat_duelWon,stat_keyPass,player_sofascoreId,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_challengeLost,stat_dispossessed,stat_accurateCross,stat_shotOffTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_penaltyWon,stat_bigChanceMissed,player_firstName,player_lastName,stat_penaltyFaced,stat_penaltyConceded,stat_errorLeadToAShot
10408331,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,43.0,26.0,31.0,14.0,18.0,20.0,8.0,23.0,2.0,8.0,1.0,1.0,1.0,1.0,90.0,47.0,6.5,17.0,0.0,0.0,0.00278232,0,-0.4093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408331,home,Real Sociedad,Aritz Elustondo,aritz-elustondo,A. Elustondo,D,6,178,410,M,785468,EUR,764812800,D,6,6,False,27.0,21.0,2.0,1.0,16.0,17.0,5.0,10.0,2.0,1.0,,,,,76.0,41.0,6.5,7.0,0.0,0.0,0.00204661,0,,True,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408331,home,Real Sociedad,Igor Zubeldia,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,64.0,57.0,7.0,2.0,39.0,41.0,18.0,23.0,1.0,9.0,,,,,90.0,67.0,6.7,7.0,0.0,0.0,0.0841186,0,,,3.0,4.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10408331,home,Real Sociedad,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6479,M,787751,EUR,847670400,D,24,24,False,61.0,54.0,6.0,2.0,46.0,48.0,8.0,13.0,3.0,4.0,,,,,90.0,70.0,7.0,8.0,0.0861,0.4631,0.00293704,1,,,,1.0,,,1.0,,4.0,6.0,1.0,lenormand_r,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10408331,home,Real Sociedad,Diego Rico,diego-rico,D. Rico,D,16,181,662,M,350560,EUR,730425600,D,15,15,False,52.0,42.0,7.0,3.0,27.0,30.0,15.0,26.0,1.0,7.0,,,,,90.0,79.0,6.9,19.0,0.0,0.0,0.0313187,0,,,1.0,1.0,,5.0,,,1.0,5.0,,,,1.0,,2.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,
10408331,home,Real Sociedad,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,3,3,False,53.0,46.0,2.0,1.0,23.0,26.0,23.0,28.0,,8.0,,,,,90.0,62.0,6.8,10.0,0.0,0.0,0.0151868,0,,,3.0,7.0,,1.0,3.0,,1.0,6.0,1.0,martin_zubimendi,,4.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,
10408331,home,Real Sociedad,Brais Méndez,brais-mendez,B. Méndez,M,23,184,2013,M,845385,EUR,852595200,M,23,23,False,30.0,26.0,,,7.0,7.0,20.0,25.0,,3.0,,,,,89.0,45.0,6.4,11.0,0.3309,0.0275,0.0325176,2,,,,8.0,,2.0,3.0,,,3.0,1.0,,1.0,1.0,,2.0,2.0,2.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,
10408331,home,Real Sociedad,David Silva,david-silva,D. Silva,M,,170,2751,,11781,EUR,505526400,M,21,21,False,57.0,50.0,2.0,1.0,25.0,25.0,25.0,32.0,,7.0,,,,,76.0,68.0,7.5,9.0,0.0256,0.0,0.0220423,1,,,,3.0,,1.0,2.0,1.0,1.0,7.0,1.0,,,3.0,3.0,2.0,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,
10408331,home,Real Sociedad,Mikel Merino,mikel-merino,M. Merino,M,23,188,29240,M,592010,EUR,835401600,M,8,8,False,51.0,42.0,3.0,1.0,14.0,16.0,29.0,36.0,1.0,14.0,,,,,90.0,73.0,7.6,12.0,0.0277,0.0,0.268726,1,,,,4.0,,1.0,2.0,,4.0,9.0,2.0,mikelmerino,,5.0,5.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,
10408331,home,Real Sociedad,Takefusa Kubo,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,F,14,14,False,19.0,17.0,,,5.0,5.0,12.0,14.0,,3.0,,,,,76.0,31.0,7.6,7.0,0.1752,0.7135,0.015024,1,,,,2.0,,2.0,2.0,,,6.0,,KuboTake,1.0,1.0,1.0,3.0,,3.0,2.0,,,,,,,,2.0,1.0,1.0,,,,,,
