match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_goalAssist,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,player_firstName,player_lastName,stat_goals,stat_blockedScoringAttempt,player_sofascoreId,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented
10408600,home,Celta Vigo,Gabri Veiga,gabri-veiga,G. Veiga,M,10,184.0,5203,M,1010505,EUR,1022457600,M,28,28,True,26.0,24.0,3.0,1.0,10.0,11.0,14.0,15.0,1.0,45.0,33.0,7.0,2.0,0.039,0.0,0.0959986,1,,,,2.0,2.0,1.0,1.0,,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,
10408600,home,Celta Vigo,Jørgen Strand Larsen,jorgen-strand-larsen,J. S. Larsen,F,22,193.0,4810,M,876599,EUR,949795200,F,18,18,True,11.0,8.0,,,,,8.0,11.0,2.0,45.0,19.0,6.9,6.0,0.1706,0.0,0.143028,1,,,,4.0,5.0,2.0,,,1.0,1.0,1.0,4.0,,,,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,
10408600,home,Celta Vigo,Augusto Solari,augusto-solari,A. Solari,M,23,176.0,135,M,291279,EUR,694396800,M,21,21,True,14.0,13.0,1.0,,7.0,7.0,6.0,7.0,1.0,23.0,20.0,6.7,2.0,0.0,0.0,0.0123958,0,,,,2.0,4.0,,3.0,3.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
10408600,home,Celta Vigo,Luca De La Torre,luca-de-la-torre,L. D. L. Torre,M,14,178.0,551,M,846492,EUR,895881600,M,23,23,True,6.0,5.0,,,4.0,4.0,1.0,2.0,,10.0,8.0,6.6,2.0,0.0,0.0,0.00134811,0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
10408600,home,Celta Vigo,Óscar Mingueza,oscar-mingueza,Ó. Mingueza,M,3,184.0,3812,M,859773,EUR,926553600,D,3,3,True,2.0,2.0,1.0,1.0,2.0,2.0,,,1.0,10.0,6.0,6.9,1.0,0.0,0.0,9.644e-05,0,,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,home,Celta Vigo,Iván Villar,ivan-villar,I. Villar,G,1,183.0,223,M,848980,EUR,868406400,G,13,13,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,home,Celta Vigo,Kevin Vázquez,kevin-vazquez,K. Vázquez,D,20,173.0,142,M,795257,EUR,732844800,D,20,20,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,home,Celta Vigo,Carlos Domínguez,carlos-dominguez,C. Domínguez,D,24,187.0,207,M,1069703,EUR,981849600,D,26,26,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,home,Celta Vigo,Miguel Rodríguez,miguel-rodriguez,M. Rodríguez,M,22,179.0,653,M,1014118,EUR,1051574400,F,29,29,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,home,Celta Vigo,Williot Swedberg,williot-swedberg,W. Swedberg,M,19,185.0,4221,M,1126779,EUR,1075593600,M,19,19,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,home,Celta Vigo,Fran Lopez,lopez-fran,F. Lopez,F,19,,10,M,1395757,EUR,1011830400,F,32,32,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Fran,Lopez,,,,,,,,
10408600,away,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186.0,1063,M,341097,EUR,729561600,G,1,1,False,17.0,6.0,15.0,4.0,4.0,5.0,2.0,12.0,3.0,90.0,21.0,5.7,11.0,0.0,0.0,0.00118275,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,-1.4371
10408600,away,Cádiz,Joseba Zaldúa,joseba-zaldua,J. Zaldúa,D,,176.0,88,M,347450,EUR,709344000,D,2,2,False,35.0,26.0,5.0,2.0,8.0,10.0,19.0,28.0,4.0,90.0,64.0,6.1,17.0,0.0,0.0,0.0164133,0,,3.0,,5.0,4.0,3.0,1.0,,,2.0,,2.0,,2.0,4.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,
10408600,away,Cádiz,Luis Hernández,luis-hernandez,L. Hernández,D,,182.0,89,M,260097,EUR,608515200,D,23,23,False,48.0,43.0,8.0,6.0,23.0,24.0,20.0,24.0,3.0,90.0,63.0,6.6,8.0,0.0468,0.0,0.0188355,1,,,2.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,
10408600,away,Cádiz,Víctor Chust,victor-chust,V. Chust,D,23,182.0,605,M,855831,EUR,952214400,D,32,32,False,44.0,37.0,6.0,2.0,23.0,25.0,14.0,19.0,6.0,90.0,47.0,6.1,7.0,0.0,0.0,0.00419984,0,,,2.0,3.0,2.0,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
10408600,away,Cádiz,Alfonso Espino,alfonso-espino,A. Espino,D,22,172.0,656,M,542634,EUR,694569600,D,22,22,False,44.0,30.0,5.0,2.0,12.0,13.0,18.0,32.0,7.0,90.0,62.0,6.5,18.0,0.0,0.0,0.0124708,0,True,1.0,,4.0,4.0,1.0,4.0,3.0,,3.0,,,,2.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,
10408600,away,Cádiz,Fede San Emeterio,fede-san-emeterio,F. S. E. Diaz,M,6,174.0,81,M,376382,EUR,858470400,M,24,24,False,37.0,29.0,2.0,1.0,17.0,19.0,12.0,18.0,2.0,63.0,39.0,6.4,9.0,0.0,0.0,0.00897583,0,,,,4.0,3.0,,1.0,,,3.0,,2.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,
10408600,away,Cádiz,Iván Alejo,ivan-alejo,I. Alejo,M,14,184.0,174,M,352486,EUR,792374400,M,11,11,False,16.0,11.0,1.0,,5.0,7.0,7.0,10.0,5.0,63.0,33.0,6.6,12.0,0.0106,0.0,0.0708188,1,,1.0,1.0,9.0,9.0,,5.0,4.0,3.0,3.0,,1.0,,,,,1.0,2.0,1.0,2.0,,4.0,,4.0,,,,,,,,,,,,
10408600,away,Cádiz,Tomás Alarcón,tomas-alarcon,T. Alarcón,M,6,176.0,566,M,844224,EUR,916704000,M,12,12,False,36.0,29.0,5.0,2.0,13.0,13.0,18.0,27.0,8.0,90.0,49.0,6.5,11.0,0.0129,0.0,0.0838796,1,,4.0,,4.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,,,,1.0,2.0,2.0,,,,1.0,,,,,,1.0,,,,,,
10408600,away,Cádiz,Antonio Blanco,antonio-blanco,A. Blanco,M,8,176.0,1655,M,855832,EUR,964310400,M,36,36,False,29.0,26.0,1.0,1.0,9.0,10.0,17.0,19.0,5.0,74.0,41.0,6.9,6.0,0.0,0.0,0.0468271,0,,,,3.0,5.0,1.0,2.0,2.0,1.0,1.0,,2.0,,1.0,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,
10408600,away,Cádiz,Brian Ocampo,brian-ocampo,B. Ocampo,M,10,173.0,942,M,941405,EUR,930268800,M,14,14,False,17.0,12.0,3.0,3.0,4.0,5.0,11.0,15.0,6.0,74.0,34.0,6.4,13.0,0.0,0.0,0.126387,0,,3.0,,8.0,5.0,,1.0,1.0,1.0,3.0,,1.0,,,4.0,2.0,,1.0,3.0,3.0,,2.0,,,,,,,,,,,,,,
10408600,away,Cádiz,Anthony Lozano,anthony-lozano,A. Lozano,F,11,183.0,1489,M,169549,EUR,735696000,F,9,9,False,11.0,7.0,,,6.0,6.0,1.0,5.0,3.0,63.0,27.0,6.6,11.0,0.1497,0.0,0.00068751,3,,,4.0,7.0,8.0,,,,3.0,1.0,,5.0,,,,,2.0,,,2.0,,5.0,,,,,,,,1.0,,,,,,
10408600,away,Cádiz,Rubén Sobrino,ruben-sobrino,R. Sobrino,M,19,185.0,175,M,329563,EUR,698198400,F,7,7,True,9.0,8.0,,,3.0,3.0,5.0,6.0,,27.0,17.0,6.7,2.0,0.0,0.0,0.0213423,0,,,,2.0,3.0,,,,2.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
10408600,away,Cádiz,Lucas Pérez,lucas-perez,L. Pérez,F,,181.0,960,M,107128,EUR,589852800,F,15,15,True,9.0,7.0,,,2.0,3.0,5.0,6.0,,27.0,11.0,6.4,3.0,0.0512,0.0,0.00811407,1,,,,2.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
10408600,away,Cádiz,Théo Bongonda,theo-bongonda,T. Bongonda,M,77,177.0,22829,M,344953,EUR,816825600,F,10,10,True,10.0,10.0,,,3.0,3.0,7.0,7.0,1.0,27.0,16.0,6.2,6.0,0.0,0.0,0.00614617,0,,,1.0,4.0,,,,,,1.0,,,,,2.0,,,,,,,4.0,,,,,,,,,theo_bongonda,,,,,
10408600,away,Cádiz,Álex Fernández,alex-fernandez,Á. Fernández,M,8,183.0,168,M,148588,EUR,719107200,M,8,8,True,18.0,16.0,1.0,1.0,8.0,8.0,8.0,10.0,2.0,16.0,20.0,6.6,3.0,0.0,0.0,0.00404951,0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
10408600,away,Cádiz,Álvaro Giménez,alvaro-gimenez,Á. Giménez,F,20,182.0,1329,M,83687,EUR,674611200,F,19,19,True,2.0,2.0,,,,,2.0,2.0,,16.0,6.0,6.3,2.0,0.0,0.0,0.00176266,0,,,,2.0,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,
10408600,away,Cádiz,David Gil,david-gil,D. Gil,G,1,183.0,78,M,138390,EUR,758246400,G,13,13,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,away,Cádiz,Fali,fali,Fali,D,,186.0,193,M,349794,EUR,745113600,D,3,3,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,away,Cádiz,Santiago Arzamendia,santiago-arzamendia,S. Arzamendia,D,15,172.0,405,M,887429,EUR,894326400,D,21,21,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,away,Cádiz,Iza Carcelén,iza-carcelen,I. Carcelén,D,20,174.0,127,M,800403,EUR,735523200,D,20,20,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,away,Cádiz,Juan Cala,juan-cala,J. Cala,D,,187.0,34,,40984,EUR,628041600,D,16,16,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,away,Cádiz,José Mari,jose-mari,J. Mari,M,,181.0,49,M,141997,EUR,565747200,M,6,6,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408600,away,Cádiz,Álvaro Negredo,alvaro-negredo,Á. Negredo,F,,186.0,307,M,27838,EUR,493344000,F,18,18,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
