match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_aerialWon,stat_outfielderBlock,captain,stat_errorLeadToAGoal,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_keyPass,stat_dispossessed,stat_errorLeadToAShot,stat_shotOffTarget,stat_accurateCross,stat_blockedScoringAttempt,stat_goals,stat_penaltyConceded,stat_goodHighClaim,stat_punches,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon,stat_hitWoodwork,stat_penaltyMiss
10438114,home,Marítimo,Miguel Silva,miguel-silva,M. Silva,G,55,188,81,M,587354,EUR,797212800,G,1,1,False,32.0,18.0,24.0,10.0,11.0,11.0,7.0,21.0,1.0,1.0,2.0,13.0,2.0,1.0,5.0,90.0,45.0,7.2,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438114,home,Marítimo,Cláudio Winck,claudio-winck,C. Winck,D,2,183,178,M,155998,EUR,766368000,D,2,2,False,28.0,20.0,6.0,4.0,11.0,13.0,9.0,16.0,,3.0,1.0,5.0,,,,90.0,53.0,6.3,14.0,0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10438114,home,Marítimo,Matheus Costa,matheus-costa,M. Costa,D,14,188,49,M,886225,EUR,791078400,D,4,4,False,35.0,32.0,1.0,,29.0,31.0,3.0,4.0,1.0,1.0,4.0,4.0,,,,90.0,46.0,6.8,3.0,0,,3.0,,,,1.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10438114,home,Marítimo,Zainadine Júnior,zainadine-junior,Z. Júnior,D,,178,102,M,105457,EUR,583113600,D,5,5,False,45.0,35.0,8.0,2.0,25.0,28.0,10.0,17.0,1.0,2.0,2.0,2.0,,,,90.0,53.0,5.9,11.0,0,,1.0,,,,2.0,,,,1.0,,1.0,1.0,True,1.0,1.0,,,,,,,,,,,,,,,,,,,
10438114,home,Marítimo,Fábio China,fabio-china,F. China,D,,179,20,M,846657,EUR,710467200,D,45,45,False,26.0,18.0,6.0,2.0,10.0,13.0,8.0,14.0,,2.0,2.0,6.0,,,,79.0,43.0,6.7,11.0,0,1.0,4.0,,1.0,1.0,1.0,3.0,3.0,,2.0,,,,,,1.0,Fábio,China,,,,,,,,,,,,,,,,,
10438114,home,Marítimo,Stefano Beltrame,stefano-beltrame,S. Beltrame,M,,183,133,M,184425,EUR,729129600,M,10,10,False,11.0,9.0,,,4.0,4.0,5.0,9.0,1.0,2.0,,4.0,,,,60.0,22.0,7.0,6.0,1,2.0,3.0,,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,
10438114,home,Marítimo,Diogo Mendes,mendes-diogo,D. Mendes,M,66,176,79,M,871046,EUR,885600000,M,16,16,False,15.0,12.0,2.0,1.0,9.0,11.0,3.0,4.0,,2.0,,1.0,,,,48.0,23.0,6.9,4.0,0,,8.0,1.0,,,,4.0,2.0,3.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
10438114,home,Marítimo,Miguel Sousa,miguel-sousa,M. Sousa,M,20,176,28,M,936367,EUR,906163200,M,20,20,False,22.0,19.0,1.0,1.0,7.0,10.0,12.0,12.0,1.0,4.0,,3.0,,,,60.0,28.0,6.8,5.0,3,,1.0,,,,,,,1.0,1.0,,,,,,,,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,
10438114,home,Marítimo,Bruno Xadas,bruno-xadas,B. Xadas,M,8,179,249,M,837410,EUR,881020800,F,23,23,False,10.0,8.0,2.0,2.0,1.0,1.0,7.0,10.0,,3.0,,2.0,,,,60.0,19.0,6.8,5.0,2,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,
10438114,home,Marítimo,Joel Tagueu,joel-tagueu,Joel,F,95,178,140,M,599698,EUR,755136000,F,95,95,False,14.0,7.0,1.0,1.0,4.0,4.0,4.0,11.0,9.0,11.0,,1.0,,,,90.0,27.0,7.5,9.0,4,1.0,5.0,,,,,,,1.0,1.0,1.0,4.0,,,,,,,1.0,3.0,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,
