match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_fouls,stat_goalAssist,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,stat_totalCross,stat_totalOffside,stat_accurateCross,stat_blockedScoringAttempt,stat_punches
10411566,home,Inter,André Onana,,,andre-onana,A. Onana,G,24,190,53850,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,40.0,34.0,13.0,8.0,33.0,34.0,1.0,6.0,10.0,2.0,1.0,3.0,90.0,56.0,7.6,6.0,0.0,0.0,0.00022966,0,0.2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411566,home,Inter,Milan Škriniar,,,milan-skriniar,M. Škriniar,D,37,187,9818,M,milanskriniar,187205,EUR,792460800,D,37,37,False,71.0,63.0,5.0,3.0,50.0,55.0,13.0,16.0,10.0,,,,90.0,88.0,7.1,11.0,0.3114,0.0,0.00871349,2,,True,3.0,2.0,4.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10411566,home,Inter,Stefan de Vrij,,,stefan-de-vrij,S. de Vrij,D,6,188,5674,M,Stefandevrij,91046,EUR,697248000,D,6,6,False,37.0,29.0,3.0,1.0,23.0,29.0,6.0,8.0,4.0,,,,90.0,48.0,7.8,8.0,0.0403,0.2752,0.002086,1,,,5.0,3.0,6.0,,,,,8.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
10411566,home,Inter,Alessandro Bastoni,,,alessandro-bastoni,A. Bastoni,D,95,190,15274,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,58.0,46.0,11.0,9.0,30.0,34.0,16.0,24.0,9.0,,,,69.0,69.0,7.4,14.0,0.0738,0.0,0.0165974,1,,,4.0,4.0,7.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,,,,,
10411566,home,Inter,Denzel Dumfries,,,denzel-dumfries,D. Dumfries,M,2,189,15021,M,ddumfries2,759520,EUR,829785600,M,2,2,False,27.0,23.0,,,13.0,13.0,10.0,17.0,2.0,,,,79.0,42.0,6.6,10.0,0.0,0.0,0.0084033,0,,,1.0,5.0,4.0,,1.0,,,,,,,,3.0,,,,,2.0,1.0,,,3.0,,3.0,,,,
10411566,home,Inter,Nicolò Barella,,,nicolo-barella,N. Barella,M,23,175,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,49.0,39.0,6.0,3.0,24.0,28.0,15.0,23.0,9.0,,,,90.0,68.0,7.2,15.0,0.3727,0.2383,0.214957,1,,,,5.0,4.0,2.0,3.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,2.0,1.0,,,
10411566,home,Inter,Hakan Çalhanoğlu,,,hakan-calhanoglu,H. Çalhanoğlu,M,20,178,32988,M,HÇalhanoğlu,135700,EUR,760665600,M,20,20,False,52.0,44.0,7.0,4.0,28.0,30.0,20.0,26.0,9.0,,,,83.0,71.0,8.5,8.0,0.0294,0.0201,0.12295,1,,,1.0,1.0,6.0,,,,,,1.0,4.0,2.0,,,1.0,1.0,1.0,,3.0,1.0,1.0,,,4.0,4.0,,4.0,,
10411566,home,Inter,Henrikh Mkhitaryan,,,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178,8680,M,micki_taryan,37151,EUR,601344000,M,22,22,False,31.0,29.0,2.0,2.0,12.0,14.0,17.0,17.0,6.0,,,,90.0,45.0,7.1,7.0,0.2179,0.0,0.291728,2,,,,4.0,4.0,1.0,,,1.0,,,3.0,1.0,2.0,,3.0,,,,1.0,,,1.0,1.0,2.0,,,,1.0,
10411566,home,Inter,Federico Dimarco,,,federico-dimarco,F. Dimarco,M,32,174,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,47.0,35.0,3.0,1.0,19.0,22.0,18.0,32.0,3.0,,,,90.0,76.0,7.6,20.0,0.0575,0.0,0.447935,2,,,,2.0,2.0,1.0,1.0,,2.0,2.0,,1.0,1.0,2.0,,,,,,2.0,,,2.0,1.0,3.0,7.0,,2.0,,
10411566,home,Inter,Lautaro Martínez,,,lautaro-martinez,L. Martínez,F,10,175,122092,M,LautaroM,823984,EUR,872208000,F,10,10,False,13.0,9.0,1.0,1.0,5.0,5.0,4.0,8.0,2.0,,,,68.0,26.0,6.8,6.0,0.3017,0.1105,0.0238337,2,,,1.0,2.0,5.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,4.0,2.0,,,,,
