match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalOffside,stat_punches,player_sofascoreId,stat_goals,stat_goalAssist,stat_hitWoodwork
10388252,home,FC Schalke 04,Ralf Fährmann,ralf-fahrmann,R. Fährmann,G,196,176,M,14113,EUR,591321600,G,1,1,False,29.0,16.0,19.0,6.0,13.0,14.0,3.0,15.0,1.0,5.0,1.0,4.0,6.0,90.0,41.0,7.1,14.0,0.0,0.0,0.00132354,0,0.5675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388252,home,FC Schalke 04,Cédric Brunner,cedric-brunner,C. Brunner,D,179,95,M,330689,EUR,761443200,D,27,27,False,40.0,27.0,9.0,2.0,18.0,21.0,9.0,20.0,2.0,10.0,,,,90.0,60.0,5.8,18.0,0.0,0.0,0.00795212,0,,Cédric,Brunner,26,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10388252,home,FC Schalke 04,Maya Yoshida,maya-yoshida,M. Yoshida,D,189,842,M,24248,EUR,588384000,D,4,4,False,55.0,43.0,6.0,2.0,31.0,33.0,12.0,22.0,4.0,3.0,,,,90.0,63.0,6.3,13.0,0.6165,0.0,0.013014,1,,,,4,,3.0,6.0,,,,,,,,2.0,True,1.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10388252,home,FC Schalke 04,Leo Greiml,leo-greiml,L. Greiml,D,186,224,M,918420,EUR,994118400,D,3,3,False,34.0,29.0,2.0,1.0,21.0,23.0,8.0,12.0,4.0,4.0,,,,90.0,50.0,6.5,6.0,0.0,0.0,0.0114572,0,,,,12,1.0,3.0,6.0,3.0,,,,,,,,,,3.0,,,,3.0,1.0,1.0,,,,,,,,,,,
10388252,home,FC Schalke 04,Henning Matriciani,henning-matriciani,H. Matriciani,D,185,146,M,962577,EUR,952992000,D,41,41,False,28.0,17.0,4.0,2.0,7.0,10.0,11.0,19.0,1.0,12.0,,,,90.0,58.0,6.9,18.0,0.0261,0.0,0.0133273,1,,,,41,1.0,9.0,9.0,4.0,1.0,1.0,1.0,,3.0,2.0,3.0,,1.0,,,,2.0,6.0,,,1.0,1.0,1.0,,,,,,,,
10388252,home,FC Schalke 04,Alex Král,alex-kral,A. Král,M,185,619,M,825740,EUR,895536000,M,30,30,False,35.0,25.0,1.0,1.0,12.0,13.0,13.0,24.0,1.0,9.0,,,,90.0,51.0,6.4,19.0,0.0334,0.0,0.027239,1,,,,33,2.0,4.0,5.0,1.0,3.0,,,,3.0,1.0,,,,1.0,,1.0,,3.0,2.0,,,,,,,,,,,,
10388252,home,FC Schalke 04,Tom Krauß,tom-krauss,T. Krauß,M,182,398,M,930272,EUR,993168000,M,6,6,False,24.0,17.0,3.0,,9.0,11.0,8.0,13.0,,5.0,,,,71.0,35.0,6.5,7.0,0.044,0.0,0.00471914,1,,,,5,,8.0,7.0,4.0,,,,1.0,,2.0,3.0,,1.0,1.0,,,,4.0,2.0,,,1.0,,,,,,,,,
10388252,home,FC Schalke 04,Dominick Drexler,dominick-drexler,D. Drexler,M,183,65,M,88494,EUR,643680000,M,24,24,False,11.0,10.0,,,5.0,5.0,6.0,7.0,,5.0,,,,45.0,18.0,6.6,2.0,0.0,0.0,0.0648572,0,,,,,1.0,4.0,4.0,2.0,1.0,,,,,2.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,
10388252,home,FC Schalke 04,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,174,2797,M,966575,EUR,934416000,M,10,10,False,15.0,10.0,2.0,1.0,5.0,6.0,8.0,20.0,,2.0,,,,82.0,44.0,6.9,20.0,0.1017,0.2289,0.410836,3,,,,10,11.0,10.0,5.0,,1.0,4.0,1.0,,3.0,2.0,3.0,,3.0,1.0,,1.0,,1.0,,1.0,3.0,,,1.0,2.0,,,,,,
10388252,home,FC Schalke 04,Marius Bülter,marius-bulter,M. Bülter,F,188,454,M,378340,EUR,733363200,M,11,11,False,22.0,15.0,2.0,1.0,,2.0,18.0,29.0,1.0,4.0,,,,90.0,48.0,7.2,17.0,0.0853,0.0,0.465264,2,,,,30,9.0,4.0,6.0,,,4.0,3.0,,3.0,2.0,1.0,,2.0,1.0,,2.0,,,,3.0,3.0,,,,,,,,,,
