match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,captain,stat_totalOffside,stat_goals,player_firstName,stat_goodHighClaim,player_lastName,stat_lastManTackle,stat_ownGoals,stat_errorLeadToAGoal
14083108,home,Atlético Madrid,Jan Oblak,jan-oblak,J. Oblak,G,13,189,12131,M,oblakjan,69768,EUR,726364800,G,13,13,False,29.0,23.0,9.0,3.0,0.0,22.0,26.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,90.0,33.0,7.2,6.0,9.52e-05,0.5754,0,-0.2822,0.03,-0.04,-0.11,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083108,home,Atlético Madrid,Marcos Llorente,marcos-llorente,M. Llorente,D,14,184,9206,M,marcosllorente,353138,EUR,791424000,D,14,14,False,70.0,61.0,4.0,4.0,1.0,30.0,33.0,31.0,37.0,6.0,,,,,90.0,97.0,8.0,14.0,0.631025,,1,,0.73,0.32,-0.15,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0271,2.0,-0.18,,,,,,,,,,,,,,,,,,,,,
14083108,home,Atlético Madrid,José María Giménez,jose-maria-gimenez,J. M. Giménez,D,2,185,5874,M,JoseMaGimenez13,325355,EUR,790560000,D,2,2,False,81.0,72.0,4.0,2.0,0.0,49.0,53.0,23.0,28.0,4.0,,,,,90.0,94.0,6.9,9.0,0.0221743,,3,,0.29,0.07,-0.08,,,2.0,5.0,5.0,7.0,,,,,4.0,,,0.2157,,-0.53,2.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
14083108,home,Atlético Madrid,Dávid Hancko,david-hancko,D. Hancko,D,17,188,4751,M,,807771,EUR,881971200,D,17,17,False,69.0,60.0,6.0,3.0,0.0,37.0,38.0,23.0,31.0,3.0,,,,,90.0,78.0,7.0,10.0,0.262695,,0,,0.38,0.26,-0.12,,,,,,1.0,,,1.0,,5.0,1.0,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,
14083108,home,Atlético Madrid,Matteo Ruggeri,matteo-ruggeri,M. Ruggeri,M,3,187,2490,M,,965011,EUR,1026345600,D,3,3,False,49.0,45.0,5.0,4.0,0.0,16.0,18.0,29.0,31.0,4.0,,,,,79.0,71.0,6.8,10.0,0.0524744,,1,,0.18,0.17,-0.09,,4.0,1.0,1.0,5.0,5.0,2.0,,,,,4.0,4.0,0.0218,,-0.12,,,,,,2.0,,1.0,0.0467,,,,,,,,,,,,
14083108,home,Atlético Madrid,Giuliano Simeone,giuliano-simeone,G. Simeone,M,20,178,16028,M,giulisimeone,1099352,EUR,1040169600,M,20,20,False,28.0,25.0,,,0.0,7.0,9.0,18.0,19.0,4.0,,,,,73.0,49.0,6.5,14.0,0.133707,,2,,0.37,-0.48,-0.08,,3.0,,1.0,5.0,4.0,5.0,,,,,1.0,,0.191,2.0,-0.52,,1.0,,,2.0,,3.0,1.0,0.4196,1.0,,,,,,,,,,,
14083108,home,Atlético Madrid,Pablo Barrios,pablo-barrios,P. Barrios,M,8,181,6589,M,PBarrios,1142588,EUR,1055635200,M,8,8,False,43.0,39.0,3.0,2.0,0.0,12.0,14.0,27.0,29.0,1.0,,,,,61.0,61.0,7.1,11.0,0.237663,,3,,0.37,0.31,-0.01,,4.0,,,4.0,4.0,2.0,,,1.0,,3.0,1.0,0.4759,1.0,-0.52,,1.0,,,1.0,,1.0,1.0,0.2319,2.0,2.0,1.0,,,,,,,,,
14083108,home,Atlético Madrid,Koke,koke,Koke,M,6,177,5822,M,Koke6,84539,EUR,694828800,M,6,6,False,90.0,84.0,8.0,5.0,0.0,39.0,40.0,45.0,50.0,5.0,,,,,90.0,100.0,7.0,10.0,0.0469662,,0,,0.25,0.15,-0.11,,2.0,,,3.0,3.0,,,,,,3.0,3.0,,2.0,,2.0,,,1.0,,,1.0,,,,1.0,,True,,,,,,,,
14083108,home,Atlético Madrid,Alejandro Baena,alejandro-baena,A. Baena,M,10,174,9564,M,alexbaena,910031,EUR,995587200,M,10,10,False,45.0,37.0,2.0,2.0,0.0,10.0,11.0,27.0,34.0,2.0,,,,,79.0,69.0,7.8,22.0,0.503088,,3,,0.66,0.18,-0.08,,12.0,,1.0,3.0,2.0,4.0,1.0,,1.0,1.0,,,0.1224,3.0,0.28,,1.0,,,,,1.0,1.0,0.7972,3.0,,,,1.0,,,,,,,
14083108,home,Atlético Madrid,Alexander Sørloth,alexander-sorloth,A. Sørloth,F,9,195,17312,M,asorloth,309078,EUR,818121600,F,9,9,False,7.0,6.0,,,0.0,1.0,2.0,5.0,5.0,,,,,,61.0,13.0,6.0,3.0,0.0533278,,1,,-0.21,-0.29,0.0,,,5.0,1.0,6.0,2.0,,,,,1.0,1.0,1.0,0.198,,-0.19,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,
