match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_fouls,stat_aerialLost,player_lastName,player_jerseyNumber,stat_interceptionWon,stat_wasFouled,stat_accurateCross,stat_totalContest,stat_clearanceOffLine,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wonContest,stat_goalAssist,stat_aerialWon,stat_goals,captain,stat_blockedScoringAttempt,player_height,stat_goodHighClaim,stat_totalOffside,stat_bigChanceCreated
11689340,home,VV SJC Noordwijk,Kevin Schelvis,Kevin Schelvis,kevin-schelvis,K. Schelvis,G,0,M,1594812,EUR,701049600.0,G,1,1,False,37.0,24.0,25.0,13.0,15.0,20.0,9.0,17.0,1.0,2.0,18.0,1.0,1.0,1.0,3.0,1.0,90.0,47.0,6.8,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11689340,home,VV SJC Noordwijk,Ralph van Oosten,Ralph van Oosten,ralph-van-oosten,R. v. Oosten,M,0,M,1594820,EUR,,D,6,6,False,6.0,4.0,1.0,1.0,2.0,3.0,2.0,4.0,,3.0,,,,,,,44.0,17.0,6.4,4.0,0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11689340,home,VV SJC Noordwijk,Sven Wisselink,Sven Wisselink,sven-wisselink,S. Wisselink,F,0,M,1594824,EUR,815961600.0,D,3,3,False,27.0,27.0,6.0,6.0,20.0,20.0,7.0,7.0,1.0,5.0,6.0,1.0,1.0,,,,85.0,36.0,6.9,,0,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11689340,home,VV SJC Noordwijk,Max de Haas,Max de Haas,max-de-haas,M. d. Haas,D,1,M,1418392,EUR,997660800.0,D,16,16,False,27.0,19.0,11.0,9.0,15.0,19.0,4.0,8.0,5.0,10.0,8.0,4.0,3.0,,,,90.0,47.0,6.9,8.0,0,,4.0,1.0,,2.0,1.0,,16,2.0,1.0,,,,,,,,,,,,,,,,,,
11689340,home,VV SJC Noordwijk,Timo Verweij,Timo Verweij,timo-verweij,T. Verweij,D,0,M,1595166,EUR,1000080000.0,D,4,4,False,20.0,16.0,3.0,2.0,10.0,12.0,7.0,10.0,2.0,1.0,8.0,2.0,,,,,90.0,44.0,6.5,11.0,0,2.0,6.0,2.0,1.0,1.0,1.0,,,2.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
11689340,home,VV SJC Noordwijk,Frans van Niel,Frans,frans-van-niel,F. v. Niel,M,1,M,865084,EUR,576288000.0,M,27,27,False,11.0,8.0,1.0,,6.0,7.0,2.0,5.0,5.0,2.0,5.0,4.0,4.0,,,,66.0,25.0,7.2,5.0,2,1.0,2.0,,,1.0,,van Niel,27,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,
11689340,home,VV SJC Noordwijk,Younes Seghrouchni,Younes,younes-seghrouchni,Y. Seghrouchni,M,0,M,865081,EUR,852508800.0,M,15,15,False,22.0,14.0,4.0,1.0,7.0,11.0,8.0,13.0,3.0,1.0,6.0,2.0,,,,,90.0,39.0,6.5,14.0,0,2.0,3.0,1.0,,,,Seghrouchni,15,3.0,,1.0,2.0,,3.0,,1.0,,,1.0,,,,,,,,,
11689340,home,VV SJC Noordwijk,Wesley Haasnoot,Wesley Haasnoot,wesley-haasnoot,W. Haasnoot,F,1,M,1595168,EUR,957830400.0,M,19,19,False,16.0,10.0,1.0,,2.0,4.0,8.0,15.0,2.0,5.0,3.0,,,,,,85.0,42.0,6.6,20.0,1,3.0,9.0,2.0,,3.0,1.0,,19,,,,3.0,,8.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,
11689340,home,VV SJC Noordwijk,Chris Hoogervorst,Chris Hoogervorst,chris-hoogervorst,C. Hoogervorst,F,1,M,1594806,EUR,,M,11,11,False,25.0,21.0,1.0,,9.0,9.0,12.0,17.0,1.0,,6.0,,,,,,90.0,28.0,6.6,5.0,2,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,
11689340,home,VV SJC Noordwijk,Martijn van Trigt,Martijn van Trigt,martijn-van-trigt,M. v. Trigt,F,2,M,1594816,EUR,,M,14,14,False,16.0,4.0,2.0,,,3.0,4.0,13.0,8.0,,6.0,5.0,4.0,,,,90.0,33.0,7.5,16.0,2,,5.0,3.0,,,,,,,3.0,,2.0,,2.0,1.0,,1.0,1.0,,,,1.0,,,,,,
