match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_challengeLost,stat_wasFouled,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_errorLeadToAShot
12437562,home,Villarreal,Diego Conde,,,diego-conde,D. Conde,G,13,188,451,M,951008,EUR,909532800,G,13,13,False,13.0,13.0,2.0,2.0,0.0,12.0,12.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,90.0,22.0,6.5,0.00034245,0,-0.2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437562,home,Villarreal,Juan Foyth,,,juan-foyth,J. Foyth,D,8,187,6465,M,873189,EUR,884563200,D,8,8,False,48.0,43.0,6.0,5.0,0.0,19.0,20.0,26.0,31.0,6.0,,,,,90.0,72.0,8.2,0.127858,2,,juanfoyth,True,3.0,2.0,1.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,1.0,3.0,9.0,0.5312,0.4161,2.0,,,,,,,,,,
12437562,home,Villarreal,Willy Kambwala,Willy Kambwala,,kambwala-willy,W. Kambwala,D,5,192,2163,M,1136721,EUR,1093392000,D,5,5,False,44.0,40.0,2.0,1.0,0.0,27.0,28.0,13.0,16.0,4.0,,,,,90.0,57.0,6.8,0.00479337,1,,,,,,,,1.0,2.0,1.0,2.0,1.0,,,1.0,,,,,5.0,0.1092,,,2.0,3.0,1.0,,,,,,,
12437562,home,Villarreal,Logan Costa,,,logan-costa,L. Costa,D,2,188,677,M,911853,EUR,986083200,D,2,2,False,53.0,51.0,5.0,4.0,0.0,33.0,34.0,18.0,19.0,5.0,,,,,90.0,62.0,7.1,0.0527238,1,,,,,,2.0,1.0,2.0,1.0,,,,1.0,,1.0,,,1.0,,3.0,0.0066,0.0398,1.0,,4.0,1.0,,,,,,,
12437562,home,Villarreal,Sergi Cardona,,,sergi-cardona,S. Cardona,D,23,186,1119,M,986245,EUR,932256000,D,23,23,False,26.0,20.0,,,0.0,8.0,10.0,12.0,18.0,,,,,,64.0,44.0,6.7,0.0303889,0,,,,2.0,,,,3.0,5.0,,,,,,1.0,4.0,1.0,,2.0,9.0,,,1.0,,1.0,,1.0,1.0,1.0,,,,
12437562,home,Villarreal,Tajon Buchanan,,,tajon-buchanan,T. Buchanan,M,17,183,7471,M,973290,EUR,918432000,M,9,9,False,32.0,25.0,2.0,2.0,0.0,4.0,4.0,22.0,34.0,4.0,,,,,64.0,50.0,6.6,0.0500374,1,,,,6.0,1.0,,,4.0,,1.0,2.0,1.0,,,,,,2.0,1.0,17.0,0.0194,,,,,,,,,,,,
12437562,home,Villarreal,Santi Comesaña,,,santi-comesana,S. Comesaña,M,14,187,1066,M,843678,EUR,844473600,M,14,14,False,59.0,54.0,4.0,4.0,0.0,21.0,21.0,34.0,41.0,6.0,,,,,79.0,77.0,8.0,0.167329,2,,,,3.0,1.0,,3.0,5.0,9.0,1.0,,1.0,1.0,,,6.0,3.0,,1.0,8.0,0.1109,0.0589,4.0,,1.0,,3.0,,,,,,
12437562,home,Villarreal,Pape Gueye,,,pape-gueye,P. Gueye,M,18,187,36528,M,879694,EUR,917136000,M,18,18,False,56.0,49.0,4.0,3.0,0.0,18.0,21.0,31.0,37.0,7.0,,,,,84.0,79.0,7.4,0.299484,3,,p.gueye24,,2.0,,,1.0,6.0,5.0,1.0,2.0,,1.0,,2.0,4.0,2.0,2.0,1.0,15.0,0.1086,0.0449,3.0,,1.0,,2.0,,,2.0,,,
12437562,home,Villarreal,Alejandro Baena,,,alejandro-baena,A. Baena,M,10,174,9564,M,910031,EUR,995587200,M,16,16,False,41.0,30.0,2.0,2.0,0.0,6.0,8.0,27.0,50.0,4.0,,,,,90.0,73.0,7.9,0.409691,4,,alexbaena,,17.0,3.0,,3.0,5.0,5.0,,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,4.0,28.0,0.0974,0.2234,3.0,,,,,,,1.0,1.0,,
12437562,home,Villarreal,Nicolas Pépé,,,nicolas-pepe,N. Pépé,F,19,183,12582,M,593526,EUR,801705600,F,19,19,False,24.0,19.0,1.0,,0.0,4.0,6.0,15.0,21.0,2.0,,,,,45.0,39.0,6.7,0.0347974,3,,nicolas_pepe19,,3.0,,,,4.0,1.0,,2.0,1.0,1.0,,,1.0,1.0,2.0,1.0,12.0,0.1559,0.1208,,,1.0,,1.0,,,1.0,,,
