match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_accurateCross,stat_aerialWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,stat_challengeLost,stat_errorLeadToAGoal,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_errorLeadToAShot,stat_wasFouled,stat_totalOffside,stat_blockedScoringAttempt,stat_goals,captain,player_sofascoreId,stat_shotOffTarget,stat_bigChanceMissed,stat_penaltyWon,stat_punches,stat_hitWoodwork
14064475,away,Olympique de Marseille,Facundo Medina,facundo-medina,F. Medina,D,32,184,4462,M,860307,EUR,927849600,D,32,32,False,52.0,45.0,6.0,3.0,0.0,28.0,31.0,17.0,21.0,,6.0,,,,,,90.0,62.0,6.3,9.0,0.0233609,146.81328892703,21.0,58.730377521105,,0,,0.33,0.03,-0.35,,,,,,4.0,2.0,,1.0,,,,,,,,,,1.0,1.0,,,,4.0,,,,,,,,1.0,,,,,,,,,,
14064475,away,Olympique de Marseille,Timothy Weah,weah-timothy,T. Weah,M,22,185,11671,M,855810,EUR,951177600,M,22,22,False,32.0,26.0,4.0,2.0,0.0,15.0,19.0,11.0,13.0,,5.0,,,,,,80.0,50.0,7.0,11.0,0.0158273,180.89890144914,16.0,81.659365105922,,2,,0.1,0.41,0.17,,,,3.0,,3.0,3.0,,,2.0,2.0,,47.14911732043,72.767455188522,2.0,1.0,,1.0,1.0,,,,,3.0,,,1.0,0.0811,0.0725,-0.33,,1.0,,,,,timothyweah,1.0,1.0,,,
14064475,away,Olympique de Marseille,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185,4495,M,149593,EUR,807580800,M,23,23,False,64.0,58.0,7.0,5.0,0.0,32.0,33.0,26.0,31.0,1.0,5.0,,,,,,90.0,79.0,7.5,7.0,0.0441567,164.26076426606,23.0,67.096670260572,,2,,0.43,0.05,-0.03,,,,,,1.0,5.0,,2.0,2.0,1.0,,,,,1.0,,,1.0,,,,,,,,,0.0469,,-0.02,,3.0,,1.0,,,hojbjerg23,1.0,,,,
14064475,away,Olympique de Marseille,Quinten Timber,quinten-timber,Q. Timber,M,27,177,8480,M,959805,EUR,992736000,M,27,27,False,34.0,32.0,2.0,,0.0,17.0,17.0,15.0,17.0,,3.0,,,,,,79.0,51.0,6.9,6.0,0.0211285,54.838505392198,6.0,-16.943756180291,,0,,0.18,-0.51,0.15,,,,,,3.0,4.0,1.0,,2.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,
14064475,away,Olympique de Marseille,Igor Paixão,igor-paixao,I. Paixão,F,14,168,12542,M,981815,EUR,962150400,M,14,14,False,22.0,17.0,2.0,1.0,0.0,7.0,7.0,10.0,15.0,1.0,3.0,,,,,,79.0,32.0,6.9,10.0,0.108679,128.76050304433,13.0,100.84572728116,,1,,-0.16,0.42,-0.03,,,,2.0,,2.0,3.0,,,,,1.0,15.148588543616,84.269533463362,6.0,1.0,,1.0,2.0,1.0,,,,,1.0,,,0.0227,,-0.31,,1.0,,,,,,1.0,,,,
14064475,away,Olympique de Marseille,Ethan Nwaneri,ethan-nwaneri,E. Nwaneri,M,11,176,28926,M,1401702,EUR,1174435200,F,11,11,False,15.0,12.0,2.0,2.0,0.0,1.0,2.0,11.0,13.0,,2.0,,,,,,67.0,32.0,6.4,9.0,0.269908,130.71501045865,14.0,69.523823755465,,3,,0.33,0.29,-0.08,,,,4.0,,5.0,,2.0,1.0,,,2.0,,,,4.0,4.0,,1.0,,,,,2.0,,,,0.278,,-0.53,,,,2.0,,,ethan_nwaneri,1.0,,,,
14064475,away,Olympique de Marseille,Mason Greenwood,mason-greenwood,M. Greenwood,F,10,181,65939,M,942116,EUR,1001894400,F,10,10,False,45.0,38.0,5.0,3.0,1.0,17.0,17.0,21.0,28.0,,3.0,,,,,,90.0,66.0,8.7,17.0,0.256216,172.26162425868,16.0,91.068682282502,,4,,0.43,0.73,0.0,,,,6.0,1.0,2.0,3.0,1.0,,,,3.0,33.394538343599,111.26172999367,6.0,5.0,1.0,1.0,2.0,2.0,1.0,,,,,,1.0,0.9815,0.9044,0.27,,,,2.0,1.0,,MGreenwood,1.0,,,,
14064475,away,Olympique de Marseille,Pierre-Emerick Aubameyang,pierre-emerick-aubameyang,P. Aubameyang,F,17,187,49773,M,51498,EUR,614131200,F,97,97,False,11.0,8.0,1.0,,0.0,4.0,4.0,4.0,7.0,1.0,,,,,,,67.0,15.0,6.8,4.0,0.00648679,23.263066977304,2.0,5.6000635571115,,1,,-0.23,-0.55,-0.02,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,0.8461,0.995,0.38,,,,,1.0,,Auba,,,,,
14064475,away,Olympique de Marseille,Hamed Junior Traorè,hamed-junior-traore,H. J. Traorè,M,20,177,3127,M,892924,EUR,950659200,M,20,20,True,8.0,6.0,2.0,1.0,0.0,3.0,4.0,3.0,4.0,,2.0,,,,,,23.0,16.0,6.5,6.0,0.00168108,30.821104286521,5.0,1.1563813838836,,0,,0.07,0.0,-0.13,,,,2.0,,1.0,3.0,,,1.0,1.0,2.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,
14064475,away,Olympique de Marseille,Amine Gouiri,amine-gouiri,A. Gouiri,F,9,180,26883,M,859026,EUR,950659200,F,9,9,True,11.0,8.0,1.0,1.0,0.0,3.0,4.0,5.0,7.0,,,,,,,,23.0,15.0,6.4,4.0,0.00435596,19.18009316735,2.0,3.0410578461897,,1,,-0.15,0.04,-0.01,,,,,1.0,2.0,2.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,0.1526,,-0.51,,,,,,,amine_gouiri,1.0,,,,
14064475,away,Olympique de Marseille,Bilal Nadir,bilal-nadir,B. Nadir,M,26,178,4739,M,1129527,EUR,1069891200,M,26,26,True,3.0,3.0,,,0.0,3.0,3.0,,,,2.0,,,,,,11.0,3.0,6.1,,6.27e-06,,,,,0,,0.0,,-0.11,,Bilal,Nadir,,1.0,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
14064475,away,Olympique de Marseille,Arthur Vermeeren,arthur-vermeeren,A. Vermeeren,M,18,180,4706,M,1149127,EUR,1107734400,M,18,18,True,6.0,6.0,,,0.0,5.0,5.0,1.0,1.0,,1.0,,,,,,11.0,9.0,6.5,1.0,0.0003916,19.523051187855,2.0,-3.4818936396561,,0,,0.04,-0.09,-0.09,,Arthur Vermeeren,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,arthurvermeeren,,,,,
14064475,away,Olympique de Marseille,Amir Murillo,michael-murillo,A. Murillo,D,62,183,3561,M,839493,EUR,823996800,D,62,62,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,,1.0,,,,,,10.0,5.0,5.9,3.0,4.898e-05,7.6541182593515,2.0,1.7295193778224,,0,,-0.16,0.03,-0.36,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064475,away,Olympique de Marseille,Jeffrey de Lange,jeffrey-de-lange,J. de Lange,G,12,188,614,M,803034,EUR,891388800,G,12,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064475,away,Olympique de Marseille,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10877,M,787505,EUR,827971200,D,28,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benpavard21,,,,,
14064475,away,Olympique de Marseille,Matt O'Riley,matt-oriley,M. O'Riley,M,33,187,5045,M,891829,EUR,974764800,M,17,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064475,away,Olympique de Marseille,Geoffrey Kondogbia,geoffrey-kondogbia,G. Kondogbia,M,19,188,2269,M,96544,EUR,729734400,M,19,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
